ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,height,weight,salary,re_rank,season,draft_team,exp,career_salary
1,Arron Afflalo,SG,24,DEN,82,75,2221,272,585,0.465,108,249,0.434,164,336,0.488,0.557,72,98,0.735,59,193,252,138,46,30,74,225,724,95,196,1086240,26,2009/2010,Detroit Pistons,2,"$58,852,159 "
2,Alexis Ajinça,C,21,CHA,6,0,30,5,10,0.5,0,0,,5,10,0.5,0.5,0,1,0,1,3,4,0,1,1,2,5,10,112,218,1372080,,2009/2010,Charlotte Bobcats,1,"$24,244,516 "
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393,113,211,5844827,12,2009/2010,Chicago Bulls,3,"$195,965,937 "
4,Joe Alexander,SF,23,CHI,8,0,29,1,6,0.167,0,1,0,1,5,0.2,0.167,2,3,0.667,2,3,5,2,1,1,0,9,4,104,203,2583360,,2009/2010,Milwaukee Bucks,1,"$5,076,945 "
5,Malik Allen,PF,31,DEN,51,3,456,46,116,0.397,1,6,0.167,45,110,0.409,0.401,12,13,0.923,36,46,82,16,11,5,22,68,105,115,208,1300000,,2009/2010,,12,"$12,607,130 "
6,Ray Allen,SG,34,BOS,80,80,2819,464,973,0.477,145,399,0.363,319,574,0.556,0.551,231,253,0.913,45,208,253,210,64,25,129,182,1304,92,196,18776860,,2009/2010,Minnesota Timberwolves,15,"$184,356,410 "
7,Tony Allen,SG,28,BOS,54,8,889,129,253,0.51,0,5,0,129,248,0.52,0.51,72,119,0.605,52,93,145,72,59,19,66,109,330,96,193,2500000,,2009/2010,Boston Celtics,5,"$40,698,419 "
8,Rafer Alston,PG,33,TOT,52,38,1421,155,446,0.348,58,168,0.345,97,278,0.349,0.413,59,81,0.728,13,116,129,176,50,10,95,103,427,77,188,4300000,,2009/2010,Milwaukee Bucks,12,"$28,129,531 "
8,Rafer Alston,PG,33,MIA,25,25,655,60,169,0.355,30,81,0.37,30,88,0.341,0.444,15,27,0.556,4,50,54,72,23,5,34,53,165,77,188,4300000,,2009/2010,Milwaukee Bucks,12,"$28,129,531 "
8,Rafer Alston,PG,33,NJN,27,13,766,95,277,0.343,28,87,0.322,67,190,0.353,0.394,44,54,0.815,9,66,75,104,27,5,61,50,262,77,188,4300000,,2009/2010,Milwaukee Bucks,12,"$28,129,531 "
9,Lou Amundson,PF,27,PHO,79,0,1168,152,276,0.551,0,1,0,152,275,0.553,0.551,67,123,0.545,128,218,346,31,24,73,57,169,371,99,206,855189,,2009/2010,,5,"$11,864,489 "
10,Chris Andersen,PF,31,DEN,76,0,1695,142,251,0.566,0,3,0,142,248,0.573,0.566,164,236,0.695,147,336,483,33,42,143,59,171,448,111,208,3650000,,2009/2010,,7,"$38,507,101 "
11,David Andersen,C,29,HOU,63,0,891,147,340,0.432,27,78,0.346,120,262,0.458,0.472,46,67,0.687,54,154,208,44,15,12,37,119,367,111,211,2300000,,2009/2010,Atlanta Hawks,0,"$4,800,000 "
12,Antonio Anderson,SF,24,OKC,1,0,15,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,0,1,1,2,97,198,,66,2009/2010,,0,
13,Ryan Anderson,PF,21,ORL,63,6,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487,108,206,1317120,,2009/2010,New Jersey Nets,1,"$104,645,909 "
14,Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,107,201,15779912,2,2009/2010,Denver Nuggets,6,"$262,088,584 "
15,Joel Anthony,C,27,MIA,80,16,1322,76,159,0.478,0,0,,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218,111,206,825497,,2009/2010,,2,"$23,377,987 "
16,Gilbert Arenas,PG,28,WAS,32,32,1169,253,616,0.411,63,181,0.348,190,435,0.437,0.462,153,207,0.739,17,116,133,230,41,9,117,95,722,86,190,16192080,99,2009/2010,Golden State Warriors,8,"$163,373,599 "
17,Trevor Ariza,SF,24,HOU,72,71,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072,97,203,5854000,19,2009/2010,New York Knicks,9,"$103,520,530 "
18,Hilton Armstrong,C,25,HOU,9,0,40,5,17,0.294,0,1,0,5,16,0.313,0.294,0,2,0,5,1,6,3,5,0,5,10,10,106,211,2801198,,2009/2010,New Orleans/Oklahoma City Hornets,3,"$9,494,478 "
18,Hilton Armstrong,C,25,SAC,6,0,56,4,12,0.333,0,0,,4,12,0.333,0.333,2,2,1,5,9,14,2,2,4,4,5,10,106,211,2801198,,2009/2010,New Orleans/Oklahoma City Hornets,3,"$9,494,478 "
18,Hilton Armstrong,PF,25,NOH,18,0,239,19,50,0.38,0,0,,19,50,0.38,0.38,13,28,0.464,17,44,61,16,8,8,13,44,51,106,211,2801198,,2009/2010,New Orleans/Oklahoma City Hornets,3,"$9,494,478 "
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,28,79,0.354,0,1,0,28,78,0.359,0.354,15,32,0.469,27,54,81,21,15,12,22,59,71,106,211,2801198,,2009/2010,New Orleans/Oklahoma City Hornets,3,"$9,494,478 "
19,Carlos Arroyo,PG,30,MIA,72,35,1585,178,375,0.475,7,25,0.28,171,350,0.489,0.484,76,90,0.844,26,104,130,225,36,6,54,102,439,91,188,1107572,,2009/2010,,13,"$20,209,555 "
20,Darrell Arthur,PF,21,MEM,32,1,457,63,146,0.432,0,1,0,63,145,0.434,0.432,17,30,0.567,37,73,110,15,14,14,22,60,143,106,206,1050480,11,2009/2010,New Orleans Hornets,1,"$40,687,487 "
21,Chucky Atkins,PG,35,DET,40,11,644,57,157,0.363,22,73,0.301,35,84,0.417,0.433,25,27,0.926,5,24,29,91,17,0,32,53,161,72,180,1306455,,2009/2010,,16,"$34,191,455 "
22,D.J. Augustin,PG,22,CHA,80,2,1472,168,435,0.386,70,178,0.393,98,257,0.381,0.467,102,131,0.779,11,86,97,193,45,5,74,127,508,83,180,2385480,29,2009/2010,Charlotte Bobcats,1,"$50,138,310 "
23,Jeff Ayres,C,22,POR,39,4,405,43,65,0.662,0,0,,43,65,0.662,0.662,18,20,0.9,25,73,98,1,7,16,12,76,104,108,206,457588,,2009/2010,Sacramento Kings,0,"$7,353,570 "
24,Kelenna Azubuike,SF,26,GSW,9,7,231,48,88,0.545,10,27,0.37,38,61,0.623,0.602,19,28,0.679,12,29,41,10,5,9,7,16,125,99,196,3132000,31,2009/2010,,3,"$11,206,233 "
25,Renaldo Balkman,SF,25,DEN,13,1,91,6,18,0.333,0,7,0,6,11,0.545,0.333,2,6,0.333,4,19,23,7,8,2,6,16,14,94,203,2112417,80,2009/2010,New York Knicks,3,"$10,979,217 "
26,Marcus Banks,PG,28,TOR,22,0,244,39,73,0.534,7,24,0.292,32,49,0.653,0.582,24,29,0.828,3,20,23,26,12,2,20,30,109,90,188,4553793,,2009/2010,Memphis Grizzlies,12,"$26,135,520 "
27,Leandro Barbosa,PG,27,PHO,44,5,786,155,365,0.425,44,136,0.324,111,229,0.485,0.485,64,73,0.877,11,58,69,64,23,12,46,71,418,87,190,6600000,,2009/2010,San Antonio Spurs,6,"$46,967,358 "
28,J.J. Barea,PG,25,DAL,78,18,1546,232,527,0.44,56,157,0.357,176,370,0.476,0.493,76,90,0.844,17,129,146,258,35,6,102,119,596,81,178,1657500,,2009/2010,,3,"$39,139,913 "
29,Andrea Bargnani,PF,24,TOR,80,80,2799,537,1143,0.47,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376,111,213,6527491,,2009/2010,Toronto Raptors,3,"$73,519,408 "
30,Matt Barnes,SF,29,ORL,81,58,2097,271,557,0.487,66,207,0.319,205,350,0.586,0.546,108,146,0.74,106,339,445,134,59,30,112,185,716,102,201,1600000,54,2009/2010,Memphis Grizzlies,8,"$35,675,098 "
31,Earl Barron,C,28,NYK,7,6,232,30,68,0.441,0,0,,30,68,0.441,0.441,22,29,0.759,31,46,77,8,4,4,11,24,82,113,213,,,2009/2010,,3,"$2,957,063 "
32,Brandon Bass,PF,24,ORL,50,3,648,119,233,0.511,0,0,,119,233,0.511,0.511,52,63,0.825,54,73,127,19,12,27,31,69,290,113,203,4000000,12,2009/2010,New Orleans Hornets,4,"$38,811,509 "
33,Tony Battie,C,33,NJN,15,0,134,14,40,0.35,1,4,0.25,13,36,0.361,0.363,7,10,0.7,4,19,23,3,4,2,3,19,36,104,211,6292000,,2009/2010,Denver Nuggets,13,"$57,604,162 "
34,Shane Battier,SG,31,HOU,67,62,2168,178,447,0.398,101,279,0.362,77,168,0.458,0.511,77,106,0.726,74,238,312,164,53,76,64,139,534,99,203,6864200,,2009/2010,Memphis Grizzlies,8,"$56,569,622 "
35,Nicolas Batum,SF,21,POR,37,25,918,139,268,0.519,54,132,0.409,85,136,0.625,0.619,43,51,0.843,32,109,141,44,24,25,27,83,375,104,203,1118760,,2009/2010,Houston Rockets,1,"$144,527,591 "
36,Jerryd Bayless,SG,21,POR,74,11,1304,200,483,0.414,29,92,0.315,171,391,0.437,0.444,201,242,0.831,18,102,120,172,26,5,94,152,630,90,190,2143080,7,2009/2010,Indiana Pacers,1,"$48,606,520 "
37,Michael Beasley,PF,21,MIA,78,78,2328,468,1040,0.45,28,102,0.275,440,938,0.469,0.463,192,240,0.8,123,375,498,100,80,49,131,221,1156,106,206,4638600,4,2009/2010,Miami Heat,1,"$40,189,539 "
38,Rodrigue Beaubois,PG,21,DAL,56,16,700,155,299,0.518,45,110,0.409,110,189,0.582,0.594,42,52,0.808,12,66,78,74,29,12,54,84,397,77,183,1075440,,2009/2010,Oklahoma City Thunder,0,"$5,695,573 "
39,Marco Belinelli,SG,23,TOR,66,1,1121,154,379,0.406,60,158,0.38,94,221,0.425,0.485,101,121,0.835,14,81,95,89,42,5,60,80,469,99,196,1547640,,2009/2010,Golden State Warriors,2,"$49,427,727 "
40,Charlie Bell,SG,30,MIL,71,39,1611,169,443,0.381,73,200,0.365,96,243,0.395,0.464,48,67,0.716,31,101,132,104,39,12,54,136,459,90,190,3596000,,2009/2010,,7,"$20,073,783 "
41,Raja Bell,SG,33,GSW,1,0,23,4,6,0.667,3,3,1,1,3,0.333,0.917,0,0,,0,2,2,3,0,0,0,2,11,92,196,5250000,,2009/2010,,11,"$36,631,964 "
41,Raja Bell,SG,33,CHA,5,5,157,24,55,0.436,9,24,0.375,15,31,0.484,0.518,3,3,1,5,16,21,10,4,2,5,13,60,92,196,5250000,,2009/2010,,11,"$36,631,964 "
41,Raja Bell,SG,33,TOT,6,5,180,28,61,0.459,12,27,0.444,16,34,0.471,0.557,3,3,1,5,18,23,13,4,2,5,15,71,92,196,5250000,,2009/2010,,11,"$36,631,964 "
42,Jonathan Bender,SF,29,NYK,25,1,292,40,100,0.4,14,39,0.359,26,61,0.426,0.47,24,26,0.923,15,37,52,16,2,17,28,33,118,91,211,801361,8,2009/2010,Toronto Raptors,7,"$30,670,146 "
43,Mike Bibby,PG,31,ATL,80,80,2195,268,644,0.416,126,324,0.389,142,320,0.444,0.514,68,79,0.861,20,164,184,310,67,3,90,157,730,86,185,6217617,,2009/2010,Vancouver Grizzlies,13,"$107,093,621 "
44,Andris Biedriņš,C,23,GSW,33,29,763,81,137,0.591,0,0,,81,137,0.591,0.591,4,25,0.16,63,196,259,57,20,44,32,117,166,108,211,9000000,,2009/2010,Golden State Warriors,5,"$62,208,776 "
45,Chauncey Billups,PG,33,DEN,73,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,0.499,466,512,0.91,25,203,228,409,82,9,177,153,1427,91,190,12100000,,2009/2010,Boston Celtics,16,"$107,227,720 "
46,DeJuan Blair,PF,20,SAS,82,23,1494,275,495,0.556,0,2,0,275,493,0.558,0.556,88,161,0.547,200,326,526,65,50,39,112,224,638,122,201,850000,36,2009/2010,San Antonio Spurs,0,"$8,755,907 "
47,Steve Blake,PG,29,LAC,29,10,762,74,167,0.443,38,87,0.437,36,80,0.45,0.557,12,16,0.75,6,63,69,177,21,4,63,39,198,78,190,4930000,55,2009/2010,Washington Wizards,8,"$36,994,442 "
47,Steve Blake,PG,29,POR,51,28,1397,143,355,0.403,78,207,0.377,65,148,0.439,0.513,24,32,0.75,15,103,118,203,37,2,65,84,388,78,190,4930000,55,2009/2010,Washington Wizards,8,"$36,994,442 "
47,Steve Blake,PG,29,TOT,80,38,2159,217,522,0.416,116,294,0.395,101,228,0.443,0.527,36,48,0.75,21,166,187,380,58,6,128,123,586,78,190,4930000,55,2009/2010,Washington Wizards,8,"$36,994,442 "
48,Andray Blatche,PF,23,WAS,81,36,2256,478,999,0.478,13,44,0.295,465,955,0.487,0.485,174,234,0.744,158,351,509,170,85,71,182,218,1143,106,211,3000000,64,2009/2010,Washington Wizards,4,"$39,726,505 "
49,Keith Bogans,SF,29,SAS,79,50,1559,120,298,0.403,70,196,0.357,50,102,0.49,0.52,37,50,0.74,25,151,176,95,45,12,53,156,347,97,196,1033342,2,2009/2010,Milwaukee Bucks,10,"$19,140,381 "
50,Andrew Bogut,C,25,MIL,69,69,2229,473,910,0.52,0,2,0,473,908,0.521,0.52,149,237,0.629,208,493,701,127,39,175,131,222,1095,117,213,10000000,,2009/2010,Milwaukee Bucks,4,"$118,126,549 "
51,Matt Bonner,PF,29,SAS,65,8,1161,166,372,0.446,90,231,0.39,76,141,0.539,0.567,35,48,0.729,52,162,214,68,30,24,39,109,457,106,208,3240380,38,2009/2010,Chicago Bulls,5,"$30,128,334 "
52,Josh Boone,PF,25,NJN,63,28,1045,117,223,0.525,0,0,,117,223,0.525,0.525,19,58,0.328,124,191,315,29,30,48,37,111,253,107,208,2056968,95,2009/2010,New Jersey Nets,3,"$5,456,088 "
53,Carlos Boozer,PF,28,UTA,78,78,2673,617,1098,0.562,0,0,,617,1098,0.562,0.562,285,384,0.742,181,693,874,247,84,36,212,270,1519,117,206,13520500,8,2009/2010,Cleveland Cavaliers,7,"$146,109,736 "
54,Chris Bosh,C,25,TOR,70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,106,211,15779912,5,2009/2010,Toronto Raptors,6,"$242,110,053 "
55,Ryan Bowen,SF,34,OKC,1,0,8,1,1,1,0,0,,1,1,1,1,2,2,1,1,1,2,0,1,0,0,2,4,97,201,209592,,2009/2010,Denver Nuggets,9,"$8,895,707 "
56,Earl Boykins,PG,33,WAS,67,1,1117,172,403,0.427,19,60,0.317,153,343,0.446,0.45,77,89,0.865,17,58,75,171,24,3,69,48,440,61,165,1191180,,2009/2010,,16,"$16,544,862 "
57,Elton Brand,PF,30,PHI,76,57,2297,412,858,0.48,0,1,0,412,857,0.481,0.48,172,233,0.738,179,282,461,109,82,80,131,232,996,124,203,14858471,,2009/2010,Chicago Bulls,10,"$169,229,324 "
58,Corey Brewer,SG,23,MIN,82,82,2482,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066,84,206,2916120,25,2009/2010,Minnesota Timberwolves,2,"$53,236,722 "
59,Ronnie Brewer,SG,24,MEM,5,0,80,3,13,0.231,0,0,,3,13,0.231,0.231,4,5,0.8,1,6,7,3,6,0,2,0,10,99,201,2717161,39,2009/2010,Utah Jazz,3,"$19,618,249 "
59,Ronnie Brewer,SG,24,UTA,53,53,1662,206,416,0.495,8,31,0.258,198,385,0.514,0.505,81,128,0.633,44,136,180,151,85,15,51,80,501,99,201,2717161,39,2009/2010,Utah Jazz,3,"$19,618,249 "
59,Ronnie Brewer,SG,24,TOT,58,53,1742,209,429,0.487,8,31,0.258,201,398,0.505,0.497,85,133,0.639,45,142,187,154,91,15,53,80,511,99,201,2717161,39,2009/2010,Utah Jazz,3,"$19,618,249 "
60,Primož Brezec,C,30,MIL,14,0,59,7,13,0.538,0,0,,7,13,0.538,0.538,0,4,0,6,7,13,1,0,2,2,10,14,114,218,1107572,,2009/2010,Indiana Pacers,10,"$13,327,978 "
60,Primož Brezec,C,30,PHI,7,0,36,2,13,0.154,0,0,,2,13,0.154,0.154,1,2,0.5,6,6,12,0,1,1,0,9,5,114,218,1107572,,2009/2010,Indiana Pacers,10,"$13,327,978 "
60,Primož Brezec,C,30,TOT,21,0,95,9,26,0.346,0,0,,9,26,0.346,0.346,1,6,0.167,12,13,25,1,1,3,2,19,19,114,218,1107572,,2009/2010,Indiana Pacers,10,"$13,327,978 "
61,Jon Brockman,PF,22,SAC,52,4,654,55,103,0.534,0,0,,55,103,0.534,0.534,37,62,0.597,105,108,213,22,15,5,23,115,147,115,201,457588,17,2009/2010,Portland Trail Blazers,0,"$3,457,588 "
62,Aaron Brooks,PG,25,HOU,82,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454,0.511,245,298,0.822,54,161,215,434,69,14,232,199,1604,73,183,1118520,32,2009/2010,Houston Rockets,2,"$20,144,233 "
63,Bobby Brown,PG,25,LAC,23,0,191,28,85,0.329,9,32,0.281,19,53,0.358,0.382,5,7,0.714,8,12,20,42,6,0,22,14,70,79,188,736420,,2009/2010,,3,"$3,343,013 "
63,Bobby Brown,PG,25,NOH,22,0,328,60,152,0.395,17,66,0.258,43,86,0.5,0.451,8,8,1,1,17,18,46,9,1,24,28,145,79,188,736420,,2009/2010,,3,"$3,343,013 "
63,Bobby Brown,PG,25,TOT,45,0,519,88,237,0.371,26,98,0.265,62,139,0.446,0.426,13,15,0.867,9,29,38,88,15,1,46,42,215,79,188,736420,,2009/2010,,3,"$3,343,013 "
64,Derrick Brown,SF,22,CHA,57,0,535,68,147,0.463,2,7,0.286,66,140,0.471,0.469,48,72,0.667,31,47,78,19,21,10,19,53,186,102,201,457588,,2009/2010,Charlotte Bobcats,0,"$2,074,172 "
65,Devin Brown,SG,31,CHI,11,0,93,8,36,0.222,4,17,0.235,4,19,0.211,0.278,0,0,,2,13,15,7,3,1,5,10,20,99,196,1100000,,2009/2010,,9,"$8,156,587 "
65,Devin Brown,SG,31,NOH,39,37,967,128,325,0.394,54,147,0.367,74,178,0.416,0.477,69,86,0.802,27,82,109,58,30,5,57,62,379,99,196,1100000,,2009/2010,,9,"$8,156,587 "
65,Devin Brown,SG,31,TOT,50,37,1060,136,361,0.377,58,164,0.354,78,197,0.396,0.457,69,86,0.802,29,95,124,65,33,6,62,72,399,99,196,1100000,,2009/2010,,9,"$8,156,587 "
66,Kwame Brown,C,27,DET,48,1,660,62,124,0.5,0,1,0,62,123,0.504,0.5,33,98,0.337,53,124,177,22,15,12,43,93,157,122,211,4100000,6,2009/2010,Washington Wizards,10,"$63,992,853 "
67,Shannon Brown,SG,24,LAL,82,7,1700,253,592,0.427,62,189,0.328,191,403,0.474,0.48,99,121,0.818,30,153,183,108,57,31,67,129,667,92,193,2000000,3,2009/2010,Cleveland Cavaliers,7,"$17,512,981 "
68,Kobe Bryant,SG,31,LAL,73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,0.488,439,541,0.811,78,313,391,365,113,20,233,187,1970,96,198,23034375,,2009/2010,Charlotte Hornets,13,"$328,238,062 "
69,Chase Budinger,SF,21,HOU,74,4,1488,249,565,0.441,92,249,0.369,157,316,0.497,0.522,67,87,0.77,38,182,220,88,34,11,48,85,657,94,201,457588,7,2009/2010,Detroit Pistons,0,"$18,236,050 "
70,Caron Butler,SG,29,DAL,27,27,930,157,357,0.44,17,50,0.34,140,307,0.456,0.464,79,104,0.76,36,109,145,49,48,9,47,67,410,103,201,9780970,60,2009/2010,Miami Heat,7,"$84,676,523 "
70,Caron Butler,SF,29,WAS,47,47,1853,293,694,0.422,25,95,0.263,268,599,0.447,0.44,185,211,0.877,68,248,316,107,68,15,113,126,796,103,201,9780970,60,2009/2010,Miami Heat,7,"$84,676,523 "
70,Caron Butler,SF-SG,29,TOT,74,74,2783,450,1051,0.428,42,145,0.29,408,906,0.45,0.448,264,315,0.838,104,357,461,156,116,24,160,193,1206,103,201,9780970,60,2009/2010,Miami Heat,7,"$84,676,523 "
71,Rasual Butler,SF,30,LAC,82,64,2702,356,870,0.409,145,432,0.336,211,438,0.482,0.493,122,145,0.841,39,201,240,116,36,68,79,121,979,97,201,3945000,37,2009/2010,Miami Heat,7,"$23,880,069 "
72,Andrew Bynum,C,22,LAL,65,65,1977,392,688,0.57,0,1,0,392,687,0.571,0.57,193,261,0.739,177,364,541,68,35,94,115,193,977,129,213,12526998,10,2009/2010,Los Angeles Lakers,4,"$72,876,258 "
73,Will Bynum,PG,27,DET,63,20,1667,237,534,0.444,12,55,0.218,225,479,0.47,0.455,142,178,0.798,24,118,142,283,55,7,115,143,628,83,183,825497,53,2009/2010,,2,"$17,137,733 "
74,José Calderón,PG,28,TOR,68,39,1817,274,568,0.482,68,171,0.398,206,397,0.519,0.542,83,104,0.798,23,119,142,404,47,7,99,135,699,90,190,8219009,,2009/2010,,4,"$85,737,295 "
75,Marcus Camby,C,35,POR,23,23,718,72,145,0.497,0,1,0,72,144,0.5,0.497,18,31,0.581,83,172,255,35,26,47,27,56,162,99,211,7650000,,2009/2010,Toronto Raptors,13,"$130,044,549 "
75,Marcus Camby,PF,35,LAC,51,51,1596,166,356,0.466,2,6,0.333,164,350,0.469,0.469,60,91,0.659,166,450,616,151,69,99,64,105,394,99,211,7650000,,2009/2010,Toronto Raptors,13,"$130,044,549 "
75,Marcus Camby,PF-C,35,TOT,74,74,2314,238,501,0.475,2,7,0.286,236,494,0.478,0.477,78,122,0.639,249,622,871,186,95,146,91,161,556,99,211,7650000,,2009/2010,Toronto Raptors,13,"$130,044,549 "
76,Brian Cardinal,PF,32,MIN,29,0,267,14,36,0.389,3,9,0.333,11,27,0.407,0.431,17,18,0.944,7,22,29,24,9,3,7,56,48,111,203,6750000,,2009/2010,Detroit Pistons,9,"$39,334,595 "
77,Rodney Carney,SG,25,PHI,68,0,857,113,282,0.401,41,135,0.304,72,147,0.49,0.473,52,63,0.825,26,111,137,37,25,20,21,79,319,92,201,855189,,2009/2010,Chicago Bulls,3,"$6,150,341 "
78,DeMarre Carroll,SF,23,MEM,71,1,795,88,222,0.396,0,6,0,88,216,0.407,0.396,33,53,0.623,53,97,150,33,28,9,24,107,209,97,198,1009680,,2009/2010,Memphis Grizzlies,0,"$73,482,547 "
79,Matt Carroll,SG,29,DAL,25,0,121,18,50,0.36,4,19,0.211,14,31,0.452,0.4,6,6,1,4,8,12,6,5,0,7,13,46,96,198,4700000,40,2009/2010,,10,"$29,537,032 "
80,Anthony Carter,PG,34,DEN,54,7,859,76,181,0.42,17,63,0.27,59,118,0.5,0.467,11,13,0.846,17,72,89,160,39,13,58,72,180,86,185,1306455,,2009/2010,,10,"$17,212,048 "
81,Vince Carter,SG,33,ORL,75,74,2310,434,1015,0.428,119,324,0.367,315,691,0.456,0.486,257,306,0.84,33,260,293,236,53,18,106,189,1244,99,198,16300000,,2009/2010,Golden State Warriors,13,"$186,886,084 "
82,Omri Casspi,SF,21,SAC,77,31,1931,300,672,0.446,75,203,0.369,225,469,0.48,0.502,117,174,0.672,75,274,349,95,54,17,98,125,792,102,206,1167000,,2009/2010,Sacramento Kings,0,"$17,838,093 "
83,Mario Chalmers,PG,23,MIA,73,22,1807,182,454,0.401,75,236,0.318,107,218,0.491,0.483,82,110,0.745,25,110,135,246,91,12,123,175,521,86,188,773500,8,2009/2010,Minnesota Timberwolves,1,"$24,734,296 "
84,Tyson Chandler,C,27,CHA,51,27,1163,109,190,0.574,0,0,,109,190,0.574,0.574,115,157,0.732,114,206,320,16,17,55,91,138,333,106,213,11850000,4,2009/2010,Los Angeles Clippers,8,"$189,930,046 "
85,Wilson Chandler,SG,22,NYK,65,64,2320,412,860,0.479,40,150,0.267,372,710,0.524,0.502,129,160,0.806,93,255,348,138,46,49,108,184,993,106,203,1255440,56,2009/2010,New York Knicks,2,"$73,765,702 "
86,Earl Clark,PF,22,PHO,51,0,383,56,151,0.371,2,5,0.4,54,146,0.37,0.377,26,36,0.722,18,44,62,21,7,13,23,25,140,102,208,1766280,24,2009/2010,Phoenix Suns,0,"$10,377,592 "
87,Jarron Collins,C,31,PHO,34,10,261,12,31,0.387,0,0,,12,31,0.387,0.387,10,25,0.4,22,40,62,6,2,3,10,42,34,115,211,1181803,,2009/2010,Utah Jazz,8,"$15,008,171 "
88,Jason Collins,C,31,ATL,24,0,115,8,23,0.348,0,1,0,8,22,0.364,0.348,0,2,0,5,9,14,4,3,2,5,21,16,115,213,1181803,,2009/2010,Houston Rockets,10,"$34,168,530 "
89,Mardy Collins,SG,25,LAC,43,0,470,47,128,0.367,4,17,0.235,43,111,0.387,0.383,13,21,0.619,13,37,50,44,23,1,32,45,111,99,198,1867742,,2009/2010,New York Knicks,5,"$4,769,702 "
90,Darren Collison,PG,22,NOH,76,37,2109,376,789,0.477,46,115,0.4,330,674,0.49,0.506,148,174,0.851,41,151,192,432,78,4,202,92,946,79,183,1266120,98,2009/2010,New Orleans Hornets,0,"$43,343,141 "
91,Nick Collison,C,29,OKC,75,5,1557,182,309,0.589,1,4,0.25,181,305,0.593,0.591,74,107,0.692,152,232,384,38,37,48,63,230,439,115,208,6250000,22,2009/2010,Seattle SuperSonics,5,"$60,322,642 "
92,Mike Conley,PG,22,MEM,80,80,2569,369,830,0.445,82,212,0.387,287,618,0.464,0.494,139,187,0.743,30,161,191,425,109,12,170,178,959,79,185,3883800,21,2009/2010,Memphis Grizzlies,2,"$174,307,894 "
93,Will Conroy,PG,27,HOU,5,0,36,3,10,0.3,0,3,0,3,7,0.429,0.3,0,2,0,0,3,3,7,0,0,4,5,6,88,188,48559,,2009/2010,,3,"$169,376 "
94,Brian Cook,PF,29,HOU,15,0,44,7,23,0.304,2,9,0.222,5,14,0.357,0.348,5,7,0.714,1,8,9,1,0,2,6,5,21,106,206,3500000,20,2009/2010,Los Angeles Lakers,10,"$17,600,124 "
95,Daequan Cook,SG,22,MIA,45,3,691,81,253,0.32,40,126,0.317,41,127,0.323,0.399,21,25,0.84,9,73,82,43,14,10,24,50,223,92,196,1362120,13,2009/2010,Philadelphia 76ers,2,"$13,010,946 "
96,Jamal Crawford,SG,29,ATL,79,0,2460,496,1105,0.449,163,427,0.382,333,678,0.491,0.523,270,315,0.857,34,167,201,238,61,12,137,132,1425,83,196,9360000,46,2009/2010,Cleveland Cavaliers,11,"$124,283,187 "
97,Dante Cunningham,PF,22,POR,63,2,707,106,214,0.495,0,2,0,106,212,0.5,0.495,31,48,0.646,54,106,160,14,24,22,15,97,243,104,203,457588,,2009/2010,Portland Trail Blazers,0,"$19,086,975 "
