ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,height,weight,salary,re_rank,season,draft_team,exp,career_salary
98,Eddy Curry,C,27,NYK,7,0,62,8,21,0.381,0,0,,8,21,0.381,0.381,10,17,0.588,4,9,13,0,0,1,13,13,26,133,213,10500423,1,2009/2010,Chicago Bulls,8,"$70,050,993 "
99,JamesOn Curry,PG,24,LAC,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,86,190,26917,53,2009/2010,Chicago Bulls,0,"$454,080 "
100,Stephen Curry,PG,21,GSW,80,77,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,83,190,2710560,,2009/2010,Golden State Warriors,0,"$169,071,724 "
101,Samuel Dalembert,C,28,PHI,82,80,2124,285,523,0.545,0,0,,285,523,0.545,0.545,97,133,0.729,239,545,784,64,42,151,123,252,667,115,211,12025694,29,2009/2010,Philadelphia 76ers,7,"$91,591,765 "
102,Erick Dampier,C,34,DAL,55,47,1280,133,213,0.624,1,3,0.333,132,210,0.629,0.627,61,101,0.604,128,272,400,31,15,77,61,153,328,120,211,12115500,,2009/2010,Indiana Pacers,13,"$97,963,871 "
103,Marquis Daniels,SF,29,BOS,51,4,937,124,249,0.498,6,28,0.214,118,221,0.534,0.51,34,56,0.607,27,68,95,66,27,6,42,91,288,90,198,1990000,84,2009/2010,,6,"$36,697,352 "
104,Baron Davis,PG,30,LAC,75,73,2523,412,1015,0.406,82,296,0.277,330,719,0.459,0.446,239,291,0.821,52,214,266,598,126,43,211,210,1145,94,190,12150000,,2009/2010,Charlotte Hornets,12,"$147,692,983 "
105,Glen Davis,PF,24,BOS,54,1,933,122,279,0.437,0,4,0,122,275,0.444,0.437,96,138,0.696,101,104,205,35,21,14,53,132,340,131,206,3000000,11,2009/2010,Seattle SuperSonics,2,"$34,366,665 "
106,Paul Davis,PF,25,WAS,2,0,8,2,4,0.5,0,0,,2,4,0.5,0.5,1,2,0.5,0,0,0,3,0,1,0,0,5,122,211,80488,7,2009/2010,Los Angeles Clippers,3,"$1,509,078 "
107,Ricky Davis,SF,30,LAC,36,2,499,62,143,0.434,16,42,0.381,46,101,0.455,0.49,18,31,0.581,10,47,57,39,11,3,29,39,158,88,198,2484000,,2009/2010,Charlotte Hornets,15,"$42,872,920 "
108,Austin Daye,SF,21,DET,69,4,915,137,295,0.464,29,95,0.305,108,200,0.54,0.514,46,56,0.821,34,140,174,34,25,26,48,114,349,99,211,1677840,34,2009/2010,Detroit Pistons,0,"$10,505,632 "
109,Carlos Delfino,SF,27,MIL,75,66,2279,299,732,0.408,134,365,0.367,165,367,0.45,0.5,93,119,0.782,51,343,394,202,80,21,119,138,825,104,198,3500000,,2009/2010,Detroit Pistons,4,"$24,777,037 "
110,Luol Deng,SF,24,CHI,70,69,2651,473,1014,0.466,32,83,0.386,441,931,0.474,0.482,252,330,0.764,131,381,512,143,66,61,134,129,1230,107,206,10370425,2,2009/2010,Phoenix Suns,5,"$158,461,551 "
111,DeMar DeRozan,SG,20,TOR,77,65,1664,255,512,0.498,4,16,0.25,251,496,0.506,0.502,148,194,0.763,66,157,223,53,43,18,62,176,662,99,198,2282640,5,2009/2010,Toronto Raptors,0,"$148,965,795 "
112,Boris Diaw,PF,27,CHA,82,82,2906,373,773,0.483,66,206,0.32,307,567,0.541,0.525,113,147,0.769,131,293,424,325,60,57,178,219,925,113,203,9000000,,2009/2010,Atlanta Hawks,8,"$80,865,921 "
113,Yakhouba Diawara,SG,27,MIA,6,2,44,2,10,0.2,1,6,0.167,1,4,0.25,0.25,0,0,,1,3,4,3,1,0,3,8,5,102,201,945000,,2009/2010,,3,"$2,920,174 "
114,Travis Diener,PG,27,POR,5,0,26,1,4,0.25,0,2,0,1,2,0.5,0.25,1,2,0.5,0,1,1,4,1,0,0,1,3,79,185,1740000,40,2009/2010,Orlando Magic,4,"$5,922,971 "
114,Travis Diener,PG,27,IND,4,0,25,1,6,0.167,1,5,0.2,0,1,0,0.25,0,2,0,0,2,2,4,3,0,0,1,3,79,185,1740000,40,2009/2010,Orlando Magic,4,"$5,922,971 "
114,Travis Diener,PG,27,TOT,9,0,51,2,10,0.2,1,7,0.143,1,3,0.333,0.25,1,4,0.25,0,3,3,8,4,0,0,2,6,79,185,1740000,40,2009/2010,Orlando Magic,4,"$5,922,971 "
115,DeSagana Diop,C,28,CHA,27,0,262,15,29,0.517,0,0,,15,29,0.517,0.517,2,9,0.222,24,41,65,5,5,14,12,31,32,136,213,6031800,8,2009/2010,Cleveland Cavaliers,12,"$47,024,084 "
116,Keyon Dooling,PG,29,NJN,53,8,971,129,324,0.398,59,157,0.376,70,167,0.419,0.489,47,61,0.77,8,46,54,135,34,0,59,82,364,88,190,3564000,19,2009/2010,Orlando Magic,9,"$30,471,031 "
117,Joey Dorsey,PF,26,SAC,8,0,52,4,9,0.444,0,0,,4,9,0.444,0.444,4,10,0.4,5,13,18,0,1,1,2,9,12,121,203,881000,,2009/2010,Portland Trail Blazers,1,"$4,515,473 "
117,Joey Dorsey,PF,26,HOU,7,0,54,5,11,0.455,0,0,,5,11,0.455,0.455,1,2,0.5,11,14,25,2,2,1,4,12,11,121,203,881000,,2009/2010,Portland Trail Blazers,1,"$4,515,473 "
117,Joey Dorsey,PF,26,TOT,15,0,106,9,20,0.45,0,0,,9,20,0.45,0.45,5,12,0.417,16,27,43,2,3,2,6,21,23,121,203,881000,,2009/2010,Portland Trail Blazers,1,"$4,515,473 "
118,Toney Douglas,PG,23,NYK,56,12,1087,179,391,0.458,68,175,0.389,111,216,0.514,0.545,55,68,0.809,40,68,108,112,42,3,55,116,481,88,188,996240,100,2009/2010,Los Angeles Lakers,0,"$9,518,150 "
119,Chris Douglas-Roberts,SF,23,NJN,67,38,1730,255,573,0.445,14,54,0.259,241,519,0.464,0.457,133,157,0.847,45,153,198,93,55,19,97,101,657,90,201,736000,41,2009/2010,New Jersey Nets,1,"$3,020,935 "
120,Goran Dragić,PG,23,PHO,80,2,1442,222,491,0.452,74,188,0.394,148,303,0.488,0.527,117,159,0.736,38,133,171,241,48,8,126,131,635,86,190,1836000,,2009/2010,San Antonio Spurs,1,"$115,113,525 "
121,Jared Dudley,SF,24,PHO,82,1,1991,225,490,0.459,120,262,0.458,105,228,0.461,0.582,104,138,0.754,99,182,281,115,81,16,68,162,674,107,198,1307640,,2009/2010,Charlotte Bobcats,4,"$59,632,781 "
122,Chris Duhon,PG,27,NYK,67,59,2072,168,451,0.373,90,258,0.349,78,193,0.404,0.472,68,95,0.716,28,150,178,378,59,3,110,83,494,83,185,6031800,6,2009/2010,Chicago Bulls,5,"$33,074,077 "
123,Tim Duncan,C,33,SAS,78,77,2438,561,1082,0.518,2,11,0.182,559,1071,0.522,0.519,271,374,0.725,221,567,788,246,45,117,140,152,1395,113,211,22183220,,2009/2010,San Antonio Spurs,12,"$245,352,905 "
124,Mike Dunleavy,SF,29,IND,67,15,1486,229,558,0.41,75,236,0.318,154,322,0.478,0.478,133,158,0.842,25,211,236,103,38,15,72,105,666,104,206,9780992,26,2009/2010,Golden State Warriors,9,"$84,513,176 "
125,Kevin Durant,SF,21,OKC,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.9,105,518,623,231,112,84,271,171,2472,108,208,4796880,2,2009/2010,Seattle SuperSonics,2,"$227,408,018 "
126,Wayne Ellington,SG,22,MIN,76,1,1384,190,448,0.424,64,162,0.395,126,286,0.441,0.496,61,70,0.871,33,126,159,74,20,5,74,72,505,93,193,1003560,8,2009/2010,Minnesota Timberwolves,0,"$42,229,022 "
127,Monta Ellis,SG,24,GSW,64,64,2647,631,1406,0.449,77,228,0.338,554,1178,0.47,0.476,292,388,0.753,47,210,257,340,143,25,244,189,1631,83,190,11000000,2,2009/2010,Golden State Warriors,4,"$101,049,781 "
128,Francisco Elson,C,33,PHI,1,0,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,3,0,1,0,1,0,0,0,0,0,2,106,213,1700000,,2009/2010,Denver Nuggets,8,"$12,558,479 "
128,Francisco Elson,C,33,MIL,11,0,62,4,13,0.308,0,0,,4,13,0.308,0.308,2,2,1,5,8,13,2,1,0,1,7,10,106,213,1700000,,2009/2010,Denver Nuggets,8,"$12,558,479 "
128,Francisco Elson,C,33,TOT,12,0,66,5,15,0.333,0,0,,5,15,0.333,0.333,2,5,0.4,6,8,14,2,1,0,1,7,12,106,213,1700000,,2009/2010,Denver Nuggets,8,"$12,558,479 "
129,Maurice Evans,SF,31,ATL,79,5,1317,175,393,0.445,57,169,0.337,118,224,0.527,0.518,46,61,0.754,59,95,154,48,34,17,20,125,453,99,196,2500000,,2009/2010,,8,"$14,611,029 "
130,Reggie Evans,PF,29,TOR,28,1,311,34,69,0.493,0,0,,34,69,0.493,0.493,27,60,0.45,30,75,105,8,14,4,22,44,95,111,203,4960000,,2009/2010,,9,"$32,345,618 "
131,Tyreke Evans,SG,20,SAC,72,72,2677,533,1165,0.458,36,141,0.255,497,1024,0.485,0.473,348,465,0.748,66,314,380,414,109,26,216,204,1450,99,198,3610080,3,2009/2010,Sacramento Kings,0,"$75,536,251 "
132,Jordan Farmar,PG,23,LAL,82,0,1474,224,515,0.435,86,229,0.376,138,286,0.483,0.518,57,85,0.671,14,117,131,127,52,11,72,109,591,81,188,1947240,20,2009/2010,Los Angeles Lakers,3,"$18,706,138 "
133,Raymond Felton,PG,25,CHA,80,80,2643,388,846,0.459,60,156,0.385,328,690,0.475,0.494,132,173,0.763,53,235,288,446,123,22,168,172,968,92,185,5501196,3,2009/2010,Charlotte Bobcats,4,"$54,171,012 "
134,Rudy Fernández,SG,24,POR,62,2,1441,160,423,0.378,98,266,0.368,62,157,0.395,0.494,85,98,0.867,35,129,164,127,62,11,72,87,503,83,198,1165320,,2009/2010,Phoenix Suns,1,"$5,676,523 "
135,Kyrylo Fesenko,C,23,UTA,49,5,408,52,95,0.547,0,1,0,52,94,0.553,0.547,24,57,0.421,33,57,90,15,6,19,24,78,128,130,216,870000,,2009/2010,Philadelphia 76ers,2,"$3,517,500 "
136,Michael Finley,SF,36,BOS,21,1,314,44,87,0.506,19,41,0.463,25,46,0.543,0.615,2,6,0.333,1,32,33,24,4,2,8,21,109,97,201,2500000,,2009/2010,Phoenix Suns,16,"$138,576,839 "
136,Michael Finley,SF,36,SAS,25,6,395,37,97,0.381,13,41,0.317,24,56,0.429,0.448,6,9,0.667,5,33,38,19,6,4,13,12,93,97,201,2500000,,2009/2010,Phoenix Suns,16,"$138,576,839 "
136,Michael Finley,SF,36,TOT,46,7,709,81,184,0.44,32,82,0.39,49,102,0.48,0.527,8,15,0.533,6,65,71,43,10,6,21,33,202,97,201,2500000,,2009/2010,Phoenix Suns,16,"$138,576,839 "
137,Derek Fisher,PG,35,LAL,82,82,2227,212,558,0.38,78,224,0.348,134,334,0.401,0.45,113,132,0.856,25,145,170,201,90,9,78,202,615,90,185,5048000,,2009/2010,Los Angeles Lakers,13,"$63,238,057 "
138,Jonny Flynn,PG,20,MIN,81,81,2339,397,952,0.417,77,215,0.358,320,737,0.434,0.457,223,270,0.826,24,167,191,356,82,2,233,98,1094,83,183,2969280,20,2009/2010,Minnesota Timberwolves,0,"$9,576,000 "
139,T.J. Ford,PG,26,IND,47,32,1189,186,418,0.445,8,50,0.16,178,368,0.484,0.455,104,135,0.77,41,108,149,180,44,11,90,102,484,74,183,8500000,17,2009/2010,Milwaukee Bucks,5,"$43,534,324 "
140,Jeff Foster,C,33,IND,16,3,255,22,46,0.478,0,1,0,22,45,0.489,0.478,5,9,0.556,34,47,81,21,3,4,14,45,49,107,211,6077500,,2009/2010,Golden State Warriors,10,"$50,070,075 "
141,Randy Foye,PG,26,WAS,70,38,1667,256,619,0.414,63,182,0.346,193,437,0.442,0.464,129,145,0.89,16,114,130,228,33,10,94,123,704,96,193,3575761,56,2009/2010,Boston Celtics,3,"$34,376,401 "
142,Channing Frye,C,26,PHO,81,41,2190,317,703,0.451,172,392,0.439,145,311,0.466,0.573,98,121,0.81,66,361,427,113,64,74,73,263,904,115,213,2000000,87,2009/2010,New York Knicks,4,"$68,943,714 "
143,Dan Gadzuric,C,31,MIL,32,6,314,39,89,0.438,0,0,,39,89,0.438,0.438,10,25,0.4,38,54,92,12,9,13,15,63,88,108,211,6749260,4,2009/2010,Milwaukee Bucks,7,"$37,609,158 "
144,Sundiata Gaines,PG,23,UTA,32,0,217,38,82,0.463,7,26,0.269,31,56,0.554,0.506,23,46,0.5,6,23,29,39,12,0,14,17,106,83,185,269169,,2009/2010,,0,"$1,450,854 "
145,Danilo Gallinari,SF,21,NYK,81,74,2747,392,927,0.423,186,488,0.381,206,439,0.469,0.523,251,307,0.818,65,333,398,135,75,58,110,191,1221,105,208,3089040,,2009/2010,New York Knicks,1,"$137,710,814 "
146,Francisco García,SG,28,SAC,25,4,575,82,176,0.466,23,59,0.39,59,117,0.504,0.531,15,17,0.882,11,55,66,45,10,19,21,49,202,88,201,5800000,71,2009/2010,Sacramento Kings,4,"$31,044,040 "
147,Kevin Garnett,PF,33,BOS,69,69,2060,402,772,0.521,1,5,0.2,401,767,0.523,0.521,185,221,0.837,78,428,506,185,68,57,101,170,990,108,211,16400000,,2009/2010,Minnesota Timberwolves,14,"$343,872,398 "
148,Marc Gasol,C,25,MEM,69,69,2469,378,651,0.581,0,1,0,378,650,0.582,0.581,252,376,0.67,208,432,640,165,69,109,135,254,1008,115,211,3240000,,2009/2010,Los Angeles Lakers,1,"$180,539,847 "
149,Pau Gasol,C,29,LAL,65,65,2403,452,844,0.536,0,5,0,452,839,0.539,0.536,286,362,0.79,243,491,734,218,37,113,143,152,1190,113,213,16452000,,2009/2010,Atlanta Hawks,10,"$225,440,912 "
150,Rudy Gay,SF,23,MEM,80,80,3175,600,1288,0.466,66,202,0.327,534,1086,0.492,0.491,301,400,0.753,115,357,472,153,118,64,169,201,1567,113,203,3280997,5,2009/2010,Houston Rockets,3,"$151,046,169 "
151,Alonzo Gee,SG,22,WAS,11,2,182,28,59,0.475,7,9,0.778,21,50,0.42,0.534,18,29,0.621,15,18,33,7,7,1,10,13,81,102,198,,52,2009/2010,,0,"$12,619,492 "
152,Devean George,SF,32,GSW,45,4,761,89,206,0.432,48,123,0.39,41,83,0.494,0.549,16,23,0.696,21,93,114,32,41,10,15,89,242,99,203,1600000,,2009/2010,Los Angeles Lakers,10,"$28,656,380 "
153,Daniel Gibson,PG,23,CLE,56,10,1068,125,268,0.466,71,149,0.477,54,119,0.454,0.599,34,49,0.694,13,60,73,70,25,7,36,79,355,86,188,4088500,19,2009/2010,Cleveland Cavaliers,3,"$22,100,174 "
154,Taj Gibson,PF,24,CHI,82,70,2204,311,629,0.494,0,0,,311,629,0.494,0.494,113,175,0.646,226,385,611,70,50,104,114,282,735,105,206,1039800,46,2009/2010,Chicago Bulls,0,"$76,308,971 "
155,J.R. Giddens,SF,24,NYK,11,0,140,19,39,0.487,0,8,0,19,31,0.613,0.487,7,11,0.636,12,19,31,7,5,1,10,19,45,97,196,1028880,14,2009/2010,Boston Celtics,1,"$1,986,000 "
155,J.R. Giddens,SF,24,BOS,21,1,99,9,21,0.429,0,2,0,9,19,0.474,0.429,6,12,0.5,4,16,20,6,4,1,7,10,24,97,196,1028880,14,2009/2010,Boston Celtics,1,"$1,986,000 "
155,J.R. Giddens,SF,24,TOT,32,1,239,28,60,0.467,0,10,0,28,50,0.56,0.467,13,23,0.565,16,35,51,13,9,2,17,29,69,97,196,1028880,14,2009/2010,Boston Celtics,1,"$1,986,000 "
156,Trey Gilder,SF,25,MEM,2,0,5,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,1,0,0,0,2,83,206,26917,,2009/2010,,0,"$26,917 "
157,Manu Ginóbili,SG,32,SAS,75,21,2150,398,903,0.441,132,350,0.377,266,553,0.481,0.514,309,355,0.87,68,216,284,370,103,24,154,154,1237,92,198,10728130,,2009/2010,San Antonio Spurs,7,"$130,039,615 "
158,Ryan Gomes,SF,27,MIN,76,64,2210,327,732,0.447,74,199,0.372,253,533,0.475,0.497,104,126,0.825,76,272,348,124,62,16,95,155,832,113,201,3867500,,2009/2010,Boston Celtics,4,"$22,567,540 "
159,Drew Gooden,PF,28,LAC,24,22,725,131,266,0.492,0,2,0,131,264,0.496,0.492,93,101,0.921,84,142,226,21,15,8,52,65,355,113,208,4500000,21,2009/2010,Memphis Grizzlies,14,"$67,930,972 "
159,Drew Gooden,C,28,DAL,46,11,1030,157,336,0.467,1,6,0.167,156,330,0.473,0.469,93,115,0.809,123,193,316,26,26,50,56,129,408,113,208,4500000,21,2009/2010,Memphis Grizzlies,14,"$67,930,972 "
159,Drew Gooden,C-PF,28,TOT,70,33,1755,288,602,0.478,1,8,0.125,287,594,0.483,0.479,186,216,0.861,207,335,542,47,41,58,108,194,763,113,208,4500000,21,2009/2010,Memphis Grizzlies,14,"$67,930,972 "
160,Ben Gordon,SG,26,DET,62,17,1730,291,699,0.416,75,234,0.321,216,465,0.465,0.47,198,230,0.861,26,93,119,166,49,6,118,147,855,90,190,10000000,41,2009/2010,Chicago Bulls,5,"$84,617,019 "
161,Eric Gordon,SG,21,LAC,62,60,2229,352,784,0.449,119,321,0.371,233,463,0.503,0.525,222,299,0.742,25,135,160,186,69,14,144,96,1045,97,190,2819880,3,2009/2010,Los Angeles Clippers,1,"$123,542,996 "
162,Marcin Gortat,C,25,ORL,81,0,1088,121,227,0.533,0,3,0,121,224,0.54,0.533,51,75,0.68,104,237,341,17,17,70,46,138,293,108,211,5854000,,2009/2010,Phoenix Suns,2,"$95,091,880 "
163,Joey Graham,SF,27,DEN,63,18,759,105,202,0.52,2,13,0.154,103,189,0.545,0.525,54,73,0.74,39,84,123,22,23,7,43,104,266,102,201,884881,,2009/2010,Toronto Raptors,4,"$8,804,185 "
164,Stephen Graham,SG,27,CHA,70,8,804,119,240,0.496,16,50,0.32,103,190,0.542,0.529,42,65,0.646,24,111,135,23,20,10,36,94,296,97,198,884881,,2009/2010,,7,"$3,782,274 "
165,Danny Granger,SF,26,IND,62,62,2278,488,1139,0.428,158,438,0.361,330,701,0.471,0.498,363,428,0.848,67,275,342,171,94,51,157,183,1497,100,206,9930500,,2009/2010,Indiana Pacers,4,"$70,830,790 "
166,Aaron Gray,C,25,NOH,24,0,261,34,61,0.557,0,0,,34,61,0.557,0.557,18,21,0.857,40,50,90,20,9,11,17,44,86,122,213,1000497,,2009/2010,Chicago Bulls,2,"$13,065,995 "
166,Aaron Gray,C,25,CHI,8,0,50,8,21,0.381,0,0,,8,21,0.381,0.381,2,7,0.286,5,11,16,2,0,0,1,10,18,122,213,1000497,,2009/2010,Chicago Bulls,2,"$13,065,995 "
166,Aaron Gray,C,25,TOT,32,0,311,42,82,0.512,0,0,,42,82,0.512,0.512,20,28,0.714,45,61,106,22,9,11,18,54,104,122,213,1000497,,2009/2010,Chicago Bulls,2,"$13,065,995 "
167,Danny Green,SG,22,CLE,20,0,115,15,39,0.385,6,22,0.273,9,17,0.529,0.462,4,6,0.667,8,9,17,5,6,3,5,9,40,97,198,457588,15,2009/2010,Cleveland Cavaliers,0,"$67,327,777 "
168,Jeff Green,PF,23,OKC,82,82,3043,485,1070,0.453,104,312,0.333,381,758,0.503,0.502,165,223,0.74,112,378,490,134,104,72,135,221,1239,106,203,3516960,,2009/2010,Boston Celtics,2,"$73,229,810 "
169,Willie Green,SG,28,PHI,73,18,1553,248,543,0.457,47,136,0.346,201,407,0.494,0.5,95,114,0.833,20,109,129,152,32,11,67,135,638,90,193,3682000,,2009/2010,Seattle SuperSonics,6,"$23,473,246 "
170,Donté Greene,SF,21,SAC,76,50,1630,244,553,0.441,69,183,0.377,175,370,0.473,0.504,90,140,0.643,53,181,234,71,41,53,93,150,647,102,211,1044000,8,2009/2010,Memphis Grizzlies,1,"$5,147,896 "
171,Taylor Griffin,SF,23,PHO,8,0,32,4,10,0.4,0,2,0,4,8,0.5,0.4,2,4,0.5,0,2,2,1,0,2,1,4,10,107,201,457588,,2009/2010,Phoenix Suns,0,"$457,588 "
172,Hamed Haddadi,C,24,MEM,36,0,240,24,62,0.387,0,3,0,24,59,0.407,0.387,14,19,0.737,26,49,75,10,1,14,20,57,62,115,218,1627779,,2009/2010,,1,"$7,600,000 "
173,Malik Hairston,SG,22,SAS,47,0,317,40,76,0.526,2,11,0.182,38,65,0.585,0.539,17,30,0.567,13,36,49,16,4,9,11,29,99,99,198,736420,9,2009/2010,Phoenix Suns,1,"$1,087,511 "
174,Marcus Haislip,SF,29,SAS,10,0,44,10,21,0.476,3,5,0.6,7,16,0.438,0.548,2,5,0.4,4,6,10,0,0,2,3,5,25,104,208,825497,,2009/2010,Milwaukee Bucks,3,"$5,788,557 "
175,Richard Hamilton,SG,31,DET,46,46,1552,293,717,0.409,41,138,0.297,252,579,0.435,0.437,204,241,0.846,30,92,122,202,30,3,115,115,831,83,198,11625000,,2009/2010,Washington Wizards,10,"$109,499,376 "
176,Tyler Hansbrough,PF,24,IND,29,1,511,81,225,0.36,0,4,0,81,221,0.367,0.36,84,113,0.743,60,78,138,28,17,8,21,70,246,113,206,1859160,4,2009/2010,Indiana Pacers,0,"$16,746,078 "
177,James Harden,SG,20,OKC,76,0,1738,233,578,0.403,93,248,0.375,140,330,0.424,0.484,194,240,0.808,47,197,244,137,80,20,106,200,753,99,196,4054160,17,2009/2010,Oklahoma City Thunder,0,"$186,430,742 "
178,Al Harrington,PF,29,NYK,72,15,2195,448,1030,0.435,140,409,0.342,308,621,0.496,0.503,240,317,0.757,88,317,405,110,62,26,132,209,1276,104,206,10026875,1,2009/2010,Indiana Pacers,15,"$90,319,819 "
179,Devin Harris,PG,26,NJN,64,61,2221,356,884,0.403,60,217,0.276,296,667,0.444,0.437,308,386,0.798,24,179,203,423,79,18,181,178,1080,83,190,8400000,,2009/2010,Washington Wizards,7,"$76,065,155 "
180,Mike Harris,PF,26,WAS,5,0,14,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1,1,3,4,0,1,0,0,4,4,108,198,64978,,2009/2010,,1,"$64,978 "
180,Mike Harris,PF,26,HOU,8,0,82,10,27,0.37,0,1,0,10,26,0.385,0.37,5,9,0.556,9,11,20,3,4,1,9,10,25,108,198,64978,,2009/2010,,1,"$64,978 "
180,Mike Harris,PF,26,TOT,13,0,96,11,30,0.367,0,1,0,11,29,0.379,0.367,7,11,0.636,10,14,24,3,5,1,9,14,29,108,198,64978,,2009/2010,,1,"$64,978 "
181,Jason Hart,PG,31,NOH,4,0,17,1,1,1,0,0,,1,1,1,1,0,0,,0,2,2,5,1,1,3,4,2,83,190,451866,,2009/2010,Milwaukee Bucks,12,"$11,589,522 "
181,Jason Hart,PG,31,MIN,1,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,83,190,451866,,2009/2010,Milwaukee Bucks,12,"$11,589,522 "
181,Jason Hart,PG,31,TOT,5,0,22,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,6,2,1,3,4,2,83,190,451866,,2009/2010,Milwaukee Bucks,12,"$11,589,522 "
182,Udonis Haslem,PF,29,MIA,78,0,2177,312,632,0.494,0,0,,312,632,0.494,0.494,147,193,0.762,167,462,629,52,30,23,75,174,771,106,203,7100000,72,2009/2010,,6,"$62,933,939 "
183,Trenton Hassell,SF,30,NJN,52,31,1106,90,219,0.411,0,5,0,90,214,0.421,0.411,52,69,0.754,56,96,152,50,17,9,47,91,232,90,196,4350000,,2009/2010,Chicago Bulls,10,"$27,583,931 "
184,Spencer Hawes,C,21,SAC,72,59,1904,312,666,0.468,26,87,0.299,286,579,0.494,0.488,73,106,0.689,145,291,436,158,32,83,131,200,723,111,216,2332800,4,2009/2010,Sacramento Kings,2,"$51,786,163 "
185,Chuck Hayes,C,26,HOU,82,82,1773,161,329,0.489,0,0,,161,329,0.489,0.489,36,66,0.545,151,314,465,139,73,43,74,219,358,108,198,2111750,46,2009/2010,,4,"$30,767,542 "
186,Jarvis Hayes,SF,28,NJN,45,19,1033,138,328,0.421,60,179,0.335,78,149,0.523,0.512,14,18,0.778,9,99,108,40,29,9,28,91,350,99,201,2062800,,2009/2010,Washington Wizards,6,"$13,376,687 "
187,Brendan Haywood,C,30,DAL,28,19,741,88,156,0.564,0,1,0,88,155,0.568,0.564,50,87,0.575,78,130,208,25,8,57,32,64,226,121,213,6000000,,2009/2010,Cleveland Cavaliers,8,"$64,826,373 "
187,Brendan Haywood,C,30,WAS,49,48,1614,188,335,0.561,0,0,,188,335,0.561,0.561,102,158,0.646,200,307,507,18,18,101,67,145,478,121,213,6000000,,2009/2010,Cleveland Cavaliers,8,"$64,826,373 "
187,Brendan Haywood,C,30,TOT,77,67,2355,276,491,0.562,0,1,0,276,490,0.563,0.562,152,245,0.62,278,437,715,43,26,158,99,209,704,121,213,6000000,,2009/2010,Cleveland Cavaliers,8,"$64,826,373 "
188,Luther Head,SG,27,IND,47,10,813,136,311,0.437,37,105,0.352,99,206,0.481,0.497,48,58,0.828,6,74,80,72,18,9,54,53,357,83,190,884881,,2009/2010,Houston Rockets,6,"$6,986,339 "
189,Gerald Henderson,SG,22,CHA,43,0,355,37,104,0.356,4,19,0.211,33,85,0.388,0.375,35,47,0.745,15,40,55,13,10,9,14,25,113,97,196,1957080,10,2009/2010,Charlotte Bobcats,0,"$37,412,847 "
190,Roy Hibbert,C,23,IND,81,69,2035,387,782,0.495,3,6,0.5,384,776,0.495,0.497,169,224,0.754,177,287,464,158,30,131,145,285,946,122,218,1575360,,2009/2010,Toronto Raptors,1,"$70,684,162 "
191,J.J. Hickson,PF,21,CLE,81,73,1691,289,522,0.554,0,1,0,289,521,0.555,0.554,111,163,0.681,110,290,400,40,36,39,92,132,689,109,206,1429200,9,2009/2010,Cleveland Cavaliers,1,"$27,153,724 "
192,Nenê,C,27,DEN,82,82,2755,421,717,0.587,0,2,0,421,715,0.589,0.587,293,416,0.704,166,461,627,203,115,82,125,281,1135,113,211,10520000,,2009/2010,New York Knicks,7,"$135,340,362 "
193,George Hill,PG,23,SAS,78,43,2276,353,738,0.478,75,188,0.399,278,550,0.505,0.529,183,237,0.772,42,163,205,226,69,26,101,222,964,85,193,1081680,,2009/2010,San Antonio Spurs,1,"$94,465,307 "
194,Grant Hill,SF,37,PHO,81,81,2430,336,703,0.478,35,80,0.438,301,623,0.483,0.503,205,251,0.817,74,371,445,193,60,36,108,165,912,102,203,3000000,,2009/2010,Detroit Pistons,14,"$142,854,650 "
195,Jordan Hill,PF,22,HOU,23,0,372,58,109,0.532,0,0,,58,109,0.532,0.532,31,47,0.66,44,70,114,13,4,12,18,55,147,106,208,2483280,,2009/2010,New York Knicks,0,"$32,116,067 "
195,Jordan Hill,PF,22,NYK,24,0,252,41,92,0.446,0,2,0,41,90,0.456,0.446,15,21,0.714,32,29,61,7,10,9,12,37,97,106,208,2483280,,2009/2010,New York Knicks,0,"$32,116,067 "
195,Jordan Hill,PF,22,TOT,47,0,624,99,201,0.493,0,2,0,99,199,0.497,0.493,46,68,0.676,76,99,175,20,14,21,30,92,244,106,208,2483280,,2009/2010,New York Knicks,0,"$32,116,067 "
196,Kirk Hinrich,SG,29,CHI,74,53,2481,308,753,0.409,104,280,0.371,204,473,0.431,0.478,85,113,0.752,24,236,260,330,85,24,113,204,805,86,193,9500000,62,2009/2010,Chicago Bulls,6,"$71,692,268 "
