g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,name,location,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
72,17430,2971,6448,.461,905,2487,.364,2066,3961,.522,1336,1668,.801,768,2549,3317,1655,595,406,995,1553,8183,2019/2020,Boston Celtics,TD Garden,119147447,5957372.35,2.41,24.59,,0,0
66,15965,2595,5658,.459,791,2157,.367,1804,3501,.515,1097,1476,.743,644,2109,2753,1589,490,299,1008,1299,7078,2019/2020,Detroit Pistons,Little Caesars Arena,131207223,5466967.62,3.95,25.45,,0,0
65,15725,2619,5715,.458,727,2070,.351,1892,3645,.519,983,1296,.758,704,2172,2876,1500,447,211,1073,1188,6948,2019/2020,Cleveland Cavaliers,Quicken Loans Arena,131181714,5703552.78,3.19,24.62,,0,0
73,17595,3000,6417,.468,848,2307,.368,2152,4110,.524,1236,1638,.755,764,2553,3317,1884,586,389,1037,1529,8084,2019/2020,Philadelphia 76ers,Wells Fargo Center,131997240,6947223.16,4.0,25.89,,0,0
72,17355,2886,6130,.471,963,2537,.380,1923,3593,.535,1278,1641,.779,656,2577,3233,1615,438,292,1089,1468,8013,2019/2020,Utah Jazz,Vivint Smart Home Arena,121899425,6094971.25,3.5,25.9,,0,0
73,17620,3075,6457,.476,743,2046,.363,2332,4411,.529,1096,1393,.787,636,2489,3125,1888,543,376,967,1445,7989,2019/2020,Indiana Pacers,Bankers Life Fieldhouse,114708526,6372695.89,3.24,24.88,,0,0
72,17380,2992,6425,.466,895,2410,.371,2097,4015,.522,1498,1894,.791,767,2664,3431,1708,511,338,1051,1594,8377,2019/2020,Los Angeles Clippers,STAPLES Center,133941896,7441216.44,5.1,26.7,,0,0
65,15725,2510,5730,.438,678,2032,.334,1832,3698,.495,1214,1511,.803,647,2138,2785,1663,534,299,969,1304,6912,2019/2020,Golden State Warriors,Chase Center,131527930,7307107.22,2.77,24.59,,0,0
67,16280,2723,6067,.449,805,2416,.333,1918,3651,.525,1237,1566,.790,661,2237,2898,1605,523,341,1086,1548,7488,2019/2020,Atlanta Hawks,State Farm Arena,113286744,5149397.45,4.14,25.76,,0,0
72,17355,2990,6544,.457,864,2345,.368,2126,4199,.506,1394,1770,.788,732,2295,3027,1801,574,309,1020,1634,8238,2019/2020,Washington Wizards,Capital One Arena,131687877,5725559.87,3.3,25.26,,0,0
64,15560,2586,5865,.441,853,2540,.336,1733,3325,.521,1223,1624,.753,675,2193,2868,1525,555,362,981,1370,7248,2019/2020,Minnesota Timberwolves,Target Center,132547645,7363758.06,3.29,24.54,,0,0
73,17745,3069,6488,.473,801,2234,.359,2268,4254,.533,1185,1526,.777,786,2436,3222,1952,586,337,1005,1485,8124,2019/2020,Denver Nuggets,Pepsi Center,130043323,7224629.06,3.38,24.76,,0,0
75,18175,3124,6772,.461,1136,3095,.367,1988,3677,.541,1392,1787,.779,791,2729,3520,1849,460,363,953,1462,8776,2019/2020,Dallas Mavericks,American Airlines Center,122089876,6104493.8,4.16,26.89,,0,0
65,15750,2425,5586,.434,785,2231,.352,1640,3355,.489,1052,1406,.748,715,2066,2781,1549,428,268,949,1223,6687,2019/2020,Charlotte Hornets,Spectrum Center,122632035,6812890.83,3.75,24.94,,0,0
73,17595,3006,6429,.468,831,2320,.358,2175,4109,.529,1451,1740,.834,712,2465,3177,1987,559,290,1077,1609,8294,2019/2020,Phoenix Suns,Talking Stick Resort Arena,121137310,6375647.89,2.47,24.16,,0,0
72,17455,2943,6364,.462,914,2511,.364,2029,3853,.527,1127,1464,.770,695,2372,3067,1713,556,293,1043,1595,7927,2019/2020,Sacramento Kings,Golden 1 Center,117679921,5116518.3,4.3,26.17,,0,0
65,15675,2573,5762,.447,793,2282,.348,1780,3480,.511,1006,1332,.755,680,2041,2721,1510,652,265,1005,1417,6945,2019/2020,Chicago Bulls,United Center,116208743,6116249.63,2.65,24.18,,0,0
72,17380,2897,6331,.458,995,2663,.374,1902,3668,.519,1329,1670,.796,685,2583,3268,1816,636,358,1067,1559,8118,2019/2020,Toronto Raptors,Scotiabank Arena,123454360,6172718.0,3.39,25.44,,0,0
74,17835,3122,6749,.463,952,2525,.377,2170,4224,.514,1312,1632,.804,754,2599,3353,1525,465,451,946,1606,8508,2019/2020,Portland Trail Blazers,Moda Center,137375608,6541695.62,4.65,25.53,,0,0
71,17090,3006,6269,.480,782,2242,.349,2224,4027,.552,1260,1728,.729,757,2490,3247,1803,612,468,1077,1471,8054,2019/2020,Los Angeles Lakers,STAPLES Center,125433839,5453645.17,7.15,28.1,,1,1
73,17595,3160,6638,.476,1007,2840,.355,2153,3798,.567,1336,1800,.742,691,3083,3774,1889,526,429,1102,1431,8663,2019/2020,Milwaukee Bucks,Fiserv Forum,135025925,6137542.05,7.12,28.53,,0,0
72,17380,2936,6512,.451,1126,3261,.345,1810,3251,.557,1484,1876,.791,704,2484,3188,1557,627,371,1057,1566,8482,2019/2020,Houston Rockets,Toyota Center,131293343,5708406.22,7.05,28.76,,0,0
73,17570,2871,6468,.444,807,2354,.343,2064,4114,.502,1282,1656,.774,751,2498,3249,1747,599,396,937,1336,7831,2019/2020,Orlando Magic,Amway Center,133294669,6347365.19,3.79,26.0,,0,0
66,15965,2638,5896,.447,631,1872,.337,2007,4024,.499,1076,1550,.694,795,2274,3069,1456,504,313,946,1464,6983,2019/2020,New York Knicks,Madison Square Garden (IV),111355759,5860829.42,3.88,24.94,,0,0
72,17480,2908,6498,.448,941,2746,.343,1967,3752,.524,1291,1732,.745,766,2683,3449,1761,464,323,1099,1510,8048,2019/2020,Brooklyn Nets,Barclays Center,126998206,5291591.92,4.75,26.17,,0,0
73,17570,3106,6634,.468,798,2297,.347,2308,4337,.532,1212,1589,.763,754,2643,3397,1965,576,398,1113,1546,8222,2019/2020,Memphis Grizzlies,FedEx Forum,128882901,4957034.65,3.0,24.95,,0,0
72,17430,3065,6598,.465,982,2656,.370,2083,3942,.528,1229,1687,.729,797,2551,3348,1932,539,358,1181,1524,8341,2019/2020,New Orleans Pelicans,Smoothie King Center,117709161,6539397.83,3.29,24.88,,0,0
71,17215,2995,6350,.472,760,2021,.376,2235,4329,.516,1348,1664,.810,640,2530,3170,1751,518,390,895,1377,8098,2019/2020,San Antonio Spurs,AT&T Center,123395102,6494479.05,5.11,26.33,,0,0
73,17745,2880,6160,.468,979,2584,.379,1901,3576,.532,1440,1840,.783,620,2619,3239,1892,547,332,1088,1501,8179,2019/2020,Miami Heat,AmericanAirlines Arena,133841791,6692089.55,4.95,26.62,,1,0
72,17430,2879,6156,.468,770,2171,.355,2109,3985,.529,1422,1787,.796,593,2495,3088,1562,550,353,986,1390,7950,2019/2020,Oklahoma City Thunder,Chesapeake Energy Arena,133820365,7043177.11,3.39,24.56,,0,0
