season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2018/2019,Detroit Pistons," Detroit, Michigan",82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,125244035,6591791.32,4.75,26.45, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2018/2019,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,112942947,5647147.35,4.12,25.85, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2018/2019,Los Angeles Clippers," Los Angeles, California",82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,118370702,4734828.08,4.73,27.14, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2018/2019,New Orleans Pelicans," New Orleans, Louisiana",82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,114806900,5466995.24,4.1,25.85, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2018/2019,Golden State Warriors," San Francisco, California",82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,146186409,8121467.17,5.82,27.41, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2018/2019,Boston Celtics," Boston, Massachusetts",82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,125541941,6607470.58,3.76,25.59, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2018/2019,Minnesota Timberwolves," Minneapolis, Minnesota",82,19830,3413,7483,0.456,827,2357,0.351,2586,5126,0.504,1570,1995,0.787,923,2750,3673,2018,683,411,1074,1664,9223,121968101,5544004.59,4.62,26.9, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
2018/2019,Los Angeles Lakers," Los Angeles, California",82,19780,3491,7425,0.47,847,2541,0.333,2644,4884,0.541,1336,1910,0.699,835,2985,3820,2096,618,440,1284,1701,9165,107275731,5363786.55,4.41,25.95, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2018/2019,Sacramento Kings," Sacramento, California",82,19730,3541,7637,0.464,927,2455,0.378,2614,5182,0.504,1354,1865,0.726,906,2819,3725,2083,679,363,1095,1751,9363,103537060,4501611.3,3.25,24.8, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2018/2019,Charlotte Hornets," Charlotte, North Carolina",82,19830,3297,7362,0.448,977,2783,0.351,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,122327044,7195708.47,5,25.76, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2018/2019,Orlando Magic," Orlando, Florida",82,19780,3316,7307,0.454,937,2633,0.356,2379,4674,0.509,1231,1575,0.782,822,2902,3724,2095,543,445,1082,1526,8800,114566809,5728340.45,2.94,24.94, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2018/2019,Washington Wizards," Washington, District of Columbia",82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.543,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,124396126,5654369.36,5.16,26.6, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2018/2019,Toronto Raptors," Toronto, Canada",82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,136242478,7569026.56,5.23,27.09, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2018/2019,Houston Rockets," Houston, Texas",82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,124810135,5943339.76,5.7,27.39, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2018/2019,Dallas Mavericks," Dallas, Texas",82,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,88351669,4015984.95,4.9,27.19, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2018/2019,Milwaukee Bucks," Milwaukee, Wisconsin",82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,125890474,5994784.48,4.88,26.54, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2018/2019,Indiana Pacers," Indianapolis, Indiana",82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,110804431,4817583.96,4.29,25.53, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2018/2019,Memphis Grizzlies," Memphis, Tennessee",82,19880,3113,6924,0.45,811,2368,0.342,2302,4556,0.505,1453,1882,0.772,723,2703,3426,1963,684,448,1147,1801,8490,124877079,5203211.62,4.57,26.89, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2018/2019,Portland Trail Blazers," Portland, Oregon",82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,132512467,7361803.72,3.89,24.56, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2018/2019,New York Knicks," New York, New York",82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575,123388448,5875640.38,3.39,24.74, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2018/2019,Brooklyn Nets," Brooklyn, New York",82,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,118271871,5375994.14,3.47,25.32, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2018/2019,Utah Jazz," Salt Lake City, Utah",82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,111744016,6573177.41,4.61,26.83, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2018/2019,Chicago Bulls," Chicago, Illinois",82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,112898444,4908628,2.41,23.77, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2018/2019,San Antonio Spurs," San Antonio, Texas",82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,122398215,6119910.75,6.06,27.69, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
2018/2019,Denver Nuggets," Denver, Colorado",82,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,117304721,6173932.68,3.33,24.94, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
2018/2019,Cleveland Cavaliers," Cleveland, Ohio",82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,124623504,5934452.57,4.48,26.22, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2018/2019,Miami Heat," Miami, Florida",82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,151716389,7985073.11,5.56,27.33, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2018/2019,Atlanta Hawks," Atlanta, Georgia",82,19855,3392,7524,0.451,1067,3034,0.352,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,107076435,4461518.12,3.18,25.14, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2018/2019,Phoenix Suns," Phoenix, Arizona",82,19880,3289,7164,0.459,790,2400,0.329,2499,4764,0.525,1447,1858,0.779,748,2563,3311,1957,735,418,1279,1932,8815,109405766,4207914.08,4.33,25.46, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2018/2019,Oklahoma City Thunder," Oklahoma City, Oklahoma",82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,143896557,7194827.85,3.94,25.11, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
