season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2014/2015,Brooklyn Nets," Brooklyn, New York",82,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,91873492,5742093.25,5,27.53, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2014/2015,Miami Heat," Miami, Florida",82,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764,82351805,4844223.82,5.38,27.52, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2014/2015,Cleveland Cavaliers," Cleveland, Ohio",82,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,82038768,5469251.2,6.45,27.95, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2014/2015,Dallas Mavericks," Dallas, Texas",82,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,83970065,3998574.52,7.26,28.58, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2014/2015,Indiana Pacers," Indianapolis, Indiana",82,19855,2998,6824,0.439,612,1740,0.352,2386,5084,0.469,1373,1817,0.756,856,2822,3678,1757,505,375,1147,1742,7981,75174324,5011621.6,4.81,27.81, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2014/2015,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.676,978,2536,3514,1683,789,487,1453,1778,7542,56455990,2090962.59,1.92,23.88, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2014/2015,New Orleans Pelicans," New Orleans, Louisiana",82,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.751,942,2621,3563,1806,553,510,1087,1530,8147,69390028,3652106.74,3.67,25.48, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2014/2015,Portland Trail Blazers," Portland, Oregon",82,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,92220907,5424759.24,4.61,26.39, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2014/2015,Denver Nuggets," Denver, Colorado",82,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320,56278056,2962002.95,4.2,25.85, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
2014/2015,Minnesota Timberwolves," Minneapolis, Minnesota",82,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.776,949,2406,3355,1771,668,327,1231,1571,8016,64733364,3596298,3.68,25.96, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
2014/2015,Oklahoma City Thunder," Oklahoma City, Oklahoma",82,19830,3184,7119,0.447,632,1864,0.339,2552,5255,0.486,1524,2020,0.754,1052,2844,3896,1681,598,454,1205,1829,8524,78791632,4924477,4.33,25.52, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
2014/2015,Memphis Grizzlies," Memphis, Tennessee",82,19905,3097,6763,0.458,423,1246,0.339,2674,5517,0.485,1445,1869,0.773,856,2634,3490,1777,700,347,1094,1567,8062,75341226,4185623.67,5.63,27.68, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2014/2015,New York Knicks," New York, New York",82,19855,2882,6726,0.428,560,1614,0.347,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535,83022165,4151108.25,4.75,27.25, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
