season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2014/2015,Orlando Magic," Orlando, Florida",82,19755,3076,6792,0.453,554,1598,0.347,2522,5194,0.486,1141,1565,0.729,822,2607,3429,1692,647,314,1221,1714,7847,53338463,2666923.15,3.73,24.93, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2014/2015,Toronto Raptors," Toronto, Canada",82,19855,3108,6829,0.455,726,2060,0.352,2382,4769,0.499,1585,2014,0.787,881,2526,3407,1701,615,357,1057,1712,8527,75562364,4444844.94,4.6,25.93, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2014/2015,Los Angeles Lakers," Los Angeles, California",82,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073,70914495,3939694.17,4.28,25.89, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2014/2015,Charlotte Hornets," Charlotte, North Carolina",82,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721,75954458,4219692.11,4.47,26.12, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2014/2015,Sacramento Kings," Sacramento, California",82,19855,3010,6617,0.455,461,1350,0.341,2549,5267,0.484,1829,2400,0.762,895,2728,3623,1667,550,324,1333,1696,8310,73675912,3877679.58,4.42,26.11, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2014/2015,Utah Jazz," Salt Lake City, Utah",82,19705,2900,6492,0.447,610,1781,0.343,2290,4711,0.486,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801,59061387,2567886.39,1.73,24, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2014/2015,Washington Wizards," Washington, District of Columbia",82,19955,3139,6790,0.462,497,1381,0.36,2642,5409,0.488,1305,1758,0.742,862,2801,3663,1969,601,378,1233,1707,8080,83108421,4617134.5,7.11,28.61, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2014/2015,Boston Celtics," Boston, Massachusetts",82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,61092622,2909172.48,4.55,26.18, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2014/2015,Phoenix Suns," Phoenix, Arizona",82,19880,3178,7038,0.452,698,2048,0.341,2480,4990,0.497,1343,1767,0.76,896,2643,3539,1659,700,385,1238,1744,8397,66503432,3022883.27,3.22,25.7, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2014/2015,Los Angeles Clippers," Los Angeles, California",82,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,80901123,4257953.84,6.3,28.05, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2014/2015,Golden State Warriors," San Francisco, California",82,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,73623654,3874929.16,5,26.73, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2014/2015,Chicago Bulls," Chicago, Illinois",82,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.783,959,2792,3751,1781,514,476,1145,1495,8265,81244225,5077764.06,5.86,28.29, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2014/2015,Houston Rockets," Houston, Texas",82,19805,3032,6832,0.444,933,2680,0.348,2099,4152,0.506,1525,2133,0.715,958,2624,3582,1820,777,407,1366,1803,8522,87299371,3968153.23,4.05,26.65, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2014/2015,Atlanta Hawks," Atlanta, Georgia",82,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,58337671,3431627.71,4.75,27, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2014/2015,Detroit Pistons," Detroit, Michigan",82,19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077,66738182,4171136.38,5,27, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2014/2015,Milwaukee Bucks," Milwaukee, Wisconsin",82,19930,3083,6722,0.459,545,1500,0.363,2538,5222,0.486,1312,1734,0.757,876,2574,3450,1932,789,403,1373,1814,8023,61443341,2925873.38,3.55,24.85, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2014/2015,San Antonio Spurs," San Antonio, Texas",82,19955,3208,6854,0.468,677,1847,0.367,2531,5007,0.505,1368,1754,0.78,806,2772,3578,2000,657,444,1146,1564,8461,69614583,3867476.83,6.24,28.47, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
