season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2012/2013,New Orleans Hornets," New Orleans, Louisiana",82,19780,2955,6589,0.448,535,1474,0.363,2420,5115,0.473,1269,1636,0.776,988,2426,3414,1721,520,440,1193,1673,7714,63901224,3758895.53,2.68,24.74, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2012/2013,Memphis Grizzlies," Memphis, Tennessee",82,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.463,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659,62954838,4496774.14,4.25,25.5, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2012/2013,Miami Heat," Miami, Florida",82,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436,81558311,5097394.44,7.78,29.78, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2012/2013,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19755,3059,6895,0.444,518,1438,0.36,2541,5457,0.466,1004,1377,0.729,896,2493,3389,1867,609,384,1070,1505,7640,84032270,4668459.44,4.12,25.53, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2012/2013,Portland Trail Blazers," Portland, Oregon",82,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.776,874,2474,3348,1784,538,353,1203,1518,7995,73656857,4332756.29,3.27,25, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2012/2013,Sacramento Kings," Sacramento, California",82,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219,54317436,3879816.86,3.65,25.41, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2012/2013,Houston Rockets," Houston, Texas",82,19780,3124,6782,0.461,867,2369,0.366,2257,4413,0.511,1573,2087,0.754,909,2652,3561,1902,679,359,1348,1662,8688,57323787,2492338.57,2.1,24.3, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2012/2013,Dallas Mavericks," Dallas, Texas",82,19980,3182,6892,0.462,606,1628,0.372,2576,5264,0.489,1323,1669,0.793,767,2670,3437,1906,648,454,1144,1698,8293,67399169,3369958.45,6.22,28.61, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2012/2013,Orlando Magic," Orlando, Florida",82,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,87114818,4584990.42,3.83,25.28, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2012/2013,Charlotte Bobcats," Charlotte, North Carolina",82,19805,2823,6649,0.425,469,1399,0.335,2354,5250,0.448,1546,2060,0.75,917,2389,3306,1587,591,479,1153,1561,7661,57491899,3832793.27,4.67,26.22, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2012/2013,Toronto Raptors," Toronto, Canada",82,19980,2979,6685,0.446,571,1665,0.343,2408,5020,0.48,1442,1831,0.788,871,2426,3297,1765,595,392,1124,1836,7971,66974563,4185910.19,4.39,26, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
