season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2012/2013,Atlanta Hawks," Atlanta, Georgia",82,19855,3084,6644,0.464,706,1901,0.371,2378,4743,0.501,1158,1619,0.715,758,2593,3351,2007,664,369,1219,1473,8032,66768365,3709353.61,5.33,26.89, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2012/2013,Cleveland Cavaliers," Cleveland, Ohio",82,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,68428583,3258503.95,3.26,24.95, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2012/2013,Detroit Pistons," Detroit, Michigan",82,19805,2979,6638,0.449,513,1440,0.356,2466,5198,0.474,1307,1870,0.699,991,2463,3454,1742,574,400,1241,1623,7778,63057497,4504106.93,3.88,25.88, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2012/2013,Utah Jazz," Salt Lake City, Utah",82,19880,3046,6710,0.454,507,1385,0.366,2539,5325,0.477,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038,64717649,4978280.69,4.79,26, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2012/2013,Oklahoma City Thunder," Oklahoma City, Oklahoma",82,19830,3126,6504,0.481,598,1588,0.377,2528,4916,0.514,1819,2196,0.828,854,2725,3579,1753,679,624,1253,1654,8669,67863244,4524216.27,4.62,25.75, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
2012/2013,Denver Nuggets," Denver, Colorado",82,19905,3339,6983,0.478,521,1518,0.343,2818,5465,0.516,1505,2148,0.701,1092,2601,3693,2002,762,533,1253,1682,8704,68566062,4285378.88,3.67,24.73, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
2012/2013,Brooklyn Nets," Brooklyn, New York",82,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,84290205,5268137.81,5.76,27.53, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2012/2013,Los Angeles Lakers," Los Angeles, California",82,19755,3041,6640,0.458,715,2015,0.355,2326,4625,0.503,1584,2289,0.692,942,2732,3674,1818,576,429,1232,1467,8381,100451593,6696772.87,6.75,28.25, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2012/2013,Golden State Warriors," San Francisco, California",82,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,69695346,5361180.46,3.39,25.12, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2012/2013,Los Angeles Clippers," Los Angeles, California",82,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,74354449,4647153.06,7.73,29.13, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2012/2013,Phoenix Suns," Phoenix, Arizona",82,19805,3061,6917,0.443,480,1455,0.33,2581,5462,0.473,1203,1618,0.744,959,2454,3413,1855,659,434,1278,1688,7805,60844774,3380265.22,3.88,26.25, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2012/2013,Boston Celtics," Boston, Massachusetts",81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.776,654,2533,3187,1843,667,365,1181,1717,7818,73021989,3843262.58,6,27.45, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2012/2013,Milwaukee Bucks," Milwaukee, Wisconsin",82,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,62476395,4165093,5.06,26.72, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2012/2013,Indiana Pacers," Indianapolis, Indiana",81,19590,2845,6525,0.436,555,1599,0.347,2290,4926,0.465,1429,1915,0.746,1043,2671,3714,1645,580,513,1227,1623,7674,66687960,4167997.5,3.38,25.81, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2012/2013,Washington Wizards," Washington, District of Columbia",82,19855,2910,6693,0.435,545,1495,0.365,2365,5198,0.455,1279,1746,0.733,887,2652,3539,1775,598,376,1238,1681,7644,66343388,3317169.4,4.47,26.21, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2012/2013,New York Knicks," New York, New York",82,19730,2996,6689,0.448,891,2371,0.376,2105,4318,0.487,1313,1729,0.759,890,2436,3326,1579,672,294,988,1650,8196,77970893,5198059.53,8.53,31.32, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2012/2013,San Antonio Spurs," San Antonio, Texas",82,19880,3210,6675,0.481,663,1764,0.376,2547,4911,0.519,1365,1725,0.791,666,2721,3387,2058,695,446,1206,1427,8448,69787704,4361731.5,5.71,27.56, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
2012/2013,Chicago Bulls," Chicago, Illinois",82,19830,2926,6698,0.437,446,1265,0.353,2480,5433,0.456,1343,1738,0.773,1026,2514,3540,1886,588,417,1171,1617,7641,75627699,5401978.5,6.53,28, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2012/2013,Minnesota Timberwolves," Minneapolis, Minnesota",82,19730,2943,6702,0.439,450,1475,0.305,2493,5227,0.477,1515,2042,0.742,973,2473,3446,1836,700,387,1214,1509,7851,69001896,3285804.57,3.63,26.74, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
