season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2011/2012,Indiana Pacers," Indianapolis, Indiana",66,15990,2354,5375,0.438,392,1064,0.368,1962,4311,0.455,1349,1724,0.782,826,2070,2896,1228,523,357,925,1430,6449,51554083,3682434.5,4.4,26.6, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2011/2012,New Orleans Hornets," New Orleans, Louisiana",66,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916,65441008,3635611.56,2.55,25.45, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2011/2012,Memphis Grizzlies," Memphis, Tennessee",66,15940,2425,5422,0.447,277,849,0.326,2148,4573,0.47,1142,1504,0.759,831,1944,2775,1290,631,345,955,1316,6269,70940349,4172961.71,4.18,26.53, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2011/2012,Boston Celtics," Boston, Massachusetts",66,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,79820530,5321368.67,7.24,28.24, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2011/2012,Philadelphia 76ers," Philadelphia, Pennsylvania",66,15915,2471,5516,0.448,349,963,0.362,2122,4553,0.466,889,1198,0.742,704,2144,2848,1453,526,340,738,1157,6180,66672368,4762312,4.31,26.12, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2011/2012,Portland Trail Blazers," Portland, Oregon",66,15965,2402,5417,0.443,478,1382,0.346,1924,4035,0.477,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415,79568536,4973033.5,5.22,26.72, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2011/2012,Oklahoma City Thunder," Oklahoma City, Oklahoma",66,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802,59501709,3718856.81,4.62,26.12, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
2011/2012,Toronto Raptors," Toronto, Canada",66,15965,2268,5154,0.44,365,1075,0.34,1903,4079,0.467,1085,1410,0.77,697,2074,2771,1382,429,321,1001,1532,5986,55063049,3670869.93,4.39,26.78, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2011/2012,Utah Jazz," Salt Lake City, Utah",66,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,56948761,4380673.92,4.6,26.13, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2011/2012,Washington Wizards," Washington, District of Columbia",66,15865,2414,5475,0.441,344,1075,0.32,2070,4400,0.47,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180,55386345,3692423,3.71,26.05, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2011/2012,Denver Nuggets," Denver, Colorado",66,16040,2572,5404,0.476,435,1311,0.332,2137,4093,0.522,1293,1760,0.735,738,2105,2843,1581,540,330,1015,1297,6872,58553173,3903544.87,4.24,25.76, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
