season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2011/2012,Houston Rockets," Houston, Texas",66,16065,2489,5543,0.449,478,1330,0.359,2011,4213,0.477,1018,1301,0.782,769,2014,2783,1404,496,319,955,1347,6474,57021755,3563859.69,3.68,25.79, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2011/2012,Sacramento Kings," Sacramento, California",66,15915,2490,5712,0.436,411,1301,0.316,2079,4411,0.471,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518,48950236,3496445.43,3.07,24.4, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2011/2012,Atlanta Hawks," Atlanta, Georgia",66,16165,2429,5348,0.454,492,1330,0.37,1937,4018,0.482,1025,1385,0.74,652,2066,2718,1481,536,303,921,1178,6375,73669912,4604369.5,7.81,29.31, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2011/2012,Cleveland Cavaliers," Cleveland, Ohio",66,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,64875599,3604199.94,2.95,25.19, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2011/2012,Detroit Pistons," Detroit, Michigan",66,15965,2291,5232,0.438,317,916,0.346,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997,70923605,4728240.33,4.43,27.07, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2011/2012,Phoenix Suns," Phoenix, Arizona",66,15840,2495,5445,0.458,444,1295,0.343,2051,4150,0.494,1058,1397,0.757,717,2035,2752,1486,431,366,928,1233,6492,80640576,5040036,6.77,28.54, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2011/2012,Milwaukee Bucks," Milwaukee, Wisconsin",66,15865,2502,5652,0.443,436,1265,0.345,2066,4387,0.471,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535,60192388,4012825.87,4.24,25.76, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2011/2012,New Jersey Nets," Brooklyn, New York",66,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144,65281235,3264061.75,3.95,26.09, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2011/2012,Los Angeles Clippers," Los Angeles, California",66,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,67333389,3960787.59,5.5,27.22, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2011/2012,Golden State Warriors," San Francisco, California",66,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,61576901,3622170.65,4,25.7, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2011/2012,Los Angeles Lakers," Los Angeles, California",66,16065,2429,5319,0.457,362,1112,0.326,2067,4207,0.491,1202,1589,0.756,799,2251,3050,1485,390,351,997,1109,6422,88264478,5516529.88,6.59,27.76, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2011/2012,Minnesota Timberwolves," Minneapolis, Minnesota",66,15940,2355,5434,0.433,473,1423,0.332,1882,4011,0.469,1281,1662,0.771,797,2089,2886,1290,436,293,1001,1212,6464,56844339,3789622.6,3.73,24.87, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
2011/2012,Dallas Mavericks," Dallas, Texas",66,16065,2398,5412,0.443,497,1464,0.339,1901,3948,0.482,1029,1334,0.771,665,2157,2822,1380,565,337,926,1226,6322,74463409,5727954.54,7.94,29.44, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2011/2012,Charlotte Bobcats," Charlotte, North Carolina",66,15890,2193,5293,0.414,263,892,0.295,1930,4401,0.439,1090,1462,0.746,677,1894,2571,1326,397,361,957,1249,5739,57902024,3860134.93,4.5,26.19, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2011/2012,Chicago Bulls," Chicago, Illinois",66,15940,2467,5462,0.452,419,1117,0.375,2048,4345,0.471,1006,1394,0.722,915,2165,3080,1527,456,388,923,1139,6359,69548447,4967746.21,5.5,28, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2011/2012,Miami Heat," Miami, Florida",66,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,74117458,4941163.87,6.31,28.44, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2011/2012,New York Knicks," New York, New York",66,15940,2365,5335,0.443,517,1538,0.336,1848,3797,0.487,1211,1634,0.741,743,2012,2755,1328,622,276,1056,1391,6458,76208092,4763005.75,5.53,26.88, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2011/2012,Orlando Magic," Orlando, Florida",66,15965,2275,5162,0.441,670,1785,0.375,1605,3377,0.475,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215,86962825,5435176.56,5.31,26.62, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2011/2012,San Antonio Spurs," San Antonio, Texas",66,15940,2611,5463,0.478,552,1405,0.393,2059,4058,0.507,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841,73732762,4337221.29,4.29,26.95, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
