season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2013/2014,Denver Nuggets," Denver, Colorado",82,19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.481,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559,67324401,4488293.4,4.62,26, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
2013/2014,Golden State Warriors," San Francisco, California",82,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,66764126,5135702,4.44,26.33, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2013/2014,Washington Wizards," Washington, District of Columbia",82,20055,3177,6920,0.459,647,1704,0.38,2530,5216,0.485,1253,1715,0.731,886,2573,3459,1909,668,377,1204,1675,8254,64064905,4576064.64,5.59,26.65, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2013/2014,Atlanta Hawks," Atlanta, Georgia",82,19830,3061,6688,0.458,768,2116,0.363,2293,4572,0.502,1392,1782,0.781,713,2565,3278,2041,680,326,1251,1577,8282,55131673,3937976.64,3.78,26.11, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2013/2014,Boston Celtics," Boston, Massachusetts",82,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892,63769609,5797237.18,4.05,25.68, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2013/2014,Chicago Bulls," Chicago, Illinois",82,19930,2843,6577,0.432,508,1459,0.348,2335,5118,0.456,1486,1908,0.779,937,2683,3620,1860,594,424,1223,1565,7680,85095835,6545833.46,5.6,27.75, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2013/2014,Memphis Grizzlies," Memphis, Tennessee",82,19805,3122,6723,0.464,405,1147,0.353,2717,5576,0.487,1235,1666,0.741,950,2526,3476,1792,631,375,1124,1568,7884,73789859,5270704.21,5.22,26.89, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2013/2014,Miami Heat," Miami, Florida",82,19880,3142,6272,0.501,665,1829,0.364,2477,4443,0.558,1431,1884,0.76,627,2397,3024,1847,732,367,1212,1596,8380,82218984,5872784.57,7.78,30, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2013/2014,Brooklyn Nets," Brooklyn, New York",82,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,102608995,6840599.67,7.05,28.84, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2013/2014,Indiana Pacers," Indianapolis, Indiana",82,19780,2949,6573,0.449,550,1542,0.357,2399,5031,0.477,1485,1907,0.779,834,2831,3665,1651,550,446,1237,1675,7933,55015196,4584599.67,4.53,27.18, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2013/2014,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.477,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155,58945006,4210357.57,1.65,23.39, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2013/2014,Portland Trail Blazers," Portland, Oregon",82,19855,3207,7134,0.45,770,2071,0.372,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753,61539586,4395684.71,3.87,25.4, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2013/2014,New York Knicks," New York, New York",82,19855,3027,6739,0.449,759,2038,0.372,2268,4701,0.482,1271,1670,0.761,870,2437,3307,1641,631,367,1063,1815,8084,88890427,6837725.15,6.22,28.22, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2013/2014,New Orleans Pelicans," New Orleans, Louisiana",82,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177,62186089,4783545.31,3.19,25.57, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2013/2014,Orlando Magic," Orlando, Florida",82,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914,80664910,4744994.71,3.38,24.88, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2013/2014,Milwaukee Bucks," Milwaukee, Wisconsin",82,19880,2952,6737,0.438,548,1553,0.353,2404,5184,0.464,1377,1843,0.747,971,2399,3370,1760,541,403,1238,1713,7829,49175131,3512509.36,3.37,25.58, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2013/2014,Charlotte Bobcats," Charlotte, North Carolina",82,19905,2976,6730,0.442,516,1471,0.351,2460,5259,0.468,1474,2000,0.737,776,2724,3500,1778,499,421,1010,1493,7942,60819062,4344218.71,4.16,26.16, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2013/2014,Oklahoma City Thunder," Oklahoma City, Oklahoma",82,19805,3194,6782,0.471,664,1839,0.361,2530,4943,0.512,1653,2052,0.806,887,2781,3668,1794,678,501,1256,1858,8705,71181364,5084383.14,5.44,27.22, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
2013/2014,Sacramento Kings," Sacramento, California",82,19830,3026,6766,0.447,491,1475,0.333,2535,5291,0.479,1698,2237,0.759,990,2656,3646,1547,587,318,1249,1849,8241,78765372,5251024.8,4.04,25.91, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2013/2014,Toronto Raptors," Toronto, Canada",82,19955,2992,6718,0.445,713,1917,0.372,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305,53076014,3791143.86,4.3,26.15, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
