season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2017/2018,Cleveland Cavaliers," Cleveland, Ohio",82,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,137912382,7258546.42,7.18,29, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2017/2018,Memphis Grizzlies," Memphis, Tennessee",82,19705,3013,6788,0.444,758,2152,0.352,2255,4636,0.486,1361,1732,0.786,779,2544,3323,1767,613,396,1227,1900,8145,110735427,4259054.88,3.04,25.46, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2017/2018,Utah Jazz," Salt Lake City, Utah",82,19755,3139,6797,0.462,887,2425,0.366,2252,4372,0.515,1375,1766,0.779,740,2807,3547,1839,708,420,1205,1608,8540,106140633,4824574.23,3.86,26.24, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2017/2018,Detroit Pistons," Detroit, Michigan",82,19805,3208,7129,0.45,886,2373,0.373,2322,4756,0.488,1207,1621,0.745,830,2756,3586,1868,628,317,1103,1508,8509,118897722,5661796.29,4.05,26.32, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2017/2018,Sacramento Kings," Sacramento, California",82,19755,3179,7063,0.45,738,1967,0.375,2441,5096,0.479,1008,1371,0.735,777,2578,3355,1768,643,340,1125,1639,8104,95682824,4160122.78,4,25.78, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2017/2018,Los Angeles Clippers," Los Angeles, California",82,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,119178226,5417192.09,3.71,26.57, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2017/2018,Phoenix Suns," Phoenix, Arizona",82,19705,3153,7141,0.442,763,2286,0.334,2390,4855,0.492,1453,1962,0.741,842,2776,3618,1743,569,370,1289,1807,8522,92518634,4022549.3,3.05,24.36, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2017/2018,Golden State Warriors," San Francisco, California",82,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1267,1607,9304,135371746,7520652.56,6.71,28, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2017/2018,Washington Wizards," Washington, District of Columbia",82,19855,3275,7018,0.467,814,2173,0.375,2461,4845,0.508,1378,1786,0.772,823,2713,3536,2065,645,353,1196,1746,8742,124030914,6201545.7,5.56,27.13, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2017/2018,Dallas Mavericks," Dallas, Texas",82,19805,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,1008,1578,8390,86136236,3589009.83,3.74,26.65, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2017/2018,Los Angeles Lakers," Los Angeles, California",82,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1295,1736,8862,102260522,4260855.08,3.67,25.5, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2017/2018,New York Knicks," New York, New York",82,19830,3334,7193,0.464,673,1914,0.352,2661,5279,0.504,1225,1557,0.787,859,2752,3611,1912,552,421,1207,1682,8566,104405157,4745688.95,4.1,25.86, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2017/2018,Charlotte Hornets," Charlotte, North Carolina",82,19780,3197,7106,0.45,824,2233,0.369,2373,4873,0.487,1656,2216,0.747,827,2901,3728,1770,559,373,1041,1409,8874,117228164,7326760.25,4,25.47, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
