name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Sacramento Kings,Power Balance Pavilion,66,15915,2490,5712,0.436,411,1301,0.316,2079,4411,0.471,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518,2011/2012,48950236,3496445.43,3.07,24.4,,0,0
Atlanta Hawks,Philips Arena,66,16165,2429,5348,0.454,492,1330,0.37,1937,4018,0.482,1025,1385,0.74,652,2066,2718,1481,536,303,921,1178,6375,2011/2012,73669912,4604369.5,7.81,29.31,,0,0
Cleveland Cavaliers,Quicken Loans Arena,66,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,2011/2012,64875599,3604199.94,2.95,25.19,,0,0
Detroit Pistons,The Palace of Auburn Hills,66,15965,2291,5232,0.438,317,916,0.346,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997,2011/2012,70923605,4728240.33,4.43,27.07,,0,0
Phoenix Suns,US Airways Center,66,15840,2495,5445,0.458,444,1295,0.343,2051,4150,0.494,1058,1397,0.757,717,2035,2752,1486,431,366,928,1233,6492,2011/2012,80640576,5040036,6.77,28.54,,0,0
Milwaukee Bucks,Bradley Center,66,15865,2502,5652,0.443,436,1265,0.345,2066,4387,0.471,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535,2011/2012,60192388,4012825.87,4.24,25.76,,0,0
New Jersey Nets,Prudential Center,66,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144,2011/2012,65281235,3264061.75,3.95,26.09,,0,0
Los Angeles Clippers,STAPLES Center,66,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,2011/2012,67333389,3960787.59,5.5,27.22,,0,0
Golden State Warriors,Oracle Arena,66,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,2011/2012,61576901,3622170.65,4,25.7,,0,0
Los Angeles Lakers,STAPLES Center,66,16065,2429,5319,0.457,362,1112,0.326,2067,4207,0.491,1202,1589,0.756,799,2251,3050,1485,390,351,997,1109,6422,2011/2012,88264478,5516529.88,6.59,27.76,,0,0
Minnesota Timberwolves,Target Center,66,15940,2355,5434,0.433,473,1423,0.332,1882,4011,0.469,1281,1662,0.771,797,2089,2886,1290,436,293,1001,1212,6464,2011/2012,56844339,3789622.6,3.73,24.87,,0,0
Dallas Mavericks,American Airlines Center,66,16065,2398,5412,0.443,497,1464,0.339,1901,3948,0.482,1029,1334,0.771,665,2157,2822,1380,565,337,926,1226,6322,2011/2012,74463409,5727954.54,7.94,29.44,,0,0
Charlotte Bobcats,Time Warner Cable Arena,66,15890,2193,5293,0.414,263,892,0.295,1930,4401,0.439,1090,1462,0.746,677,1894,2571,1326,397,361,957,1249,5739,2011/2012,57902024,3860134.93,4.5,26.19,,0,0
Chicago Bulls,United Center,66,15940,2467,5462,0.452,419,1117,0.375,2048,4345,0.471,1006,1394,0.722,915,2165,3080,1527,456,388,923,1139,6359,2011/2012,69548447,4967746.21,5.5,28,,0,0
Miami Heat,AmericanAirlines Arena,66,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,2011/2012,74117458,4941163.87,6.31,28.44,,1,1
New York Knicks,Madison Square Garden (IV),66,15940,2365,5335,0.443,517,1538,0.336,1848,3797,0.487,1211,1634,0.741,743,2012,2755,1328,622,276,1056,1391,6458,2011/2012,76208092,4763005.75,5.53,26.88,,0,0
Orlando Magic,Amway Center,66,15965,2275,5162,0.441,670,1785,0.375,1605,3377,0.475,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215,2011/2012,86962825,5435176.56,5.31,26.62,,0,0
San Antonio Spurs,AT&T Center,66,15940,2611,5463,0.478,552,1405,0.393,2059,4058,0.507,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841,2011/2012,73732762,4337221.29,4.29,26.95,,0,0
Indiana Pacers,Bankers Life Fieldhouse,66,15990,2354,5375,0.438,392,1064,0.368,1962,4311,0.455,1349,1724,0.782,826,2070,2896,1228,523,357,925,1430,6449,2011/2012,51554083,3682434.5,4.4,26.6,,0,0
New Orleans Hornets,New Orleans Arena,66,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916,2011/2012,65441008,3635611.56,2.55,25.45,,0,0
Washington Wizards,Verizon Center,66,15865,2414,5475,0.441,344,1075,0.32,2070,4400,0.47,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180,2011/2012,55386345,3692423,3.71,26.05,,0,0
Memphis Grizzlies,FedEx Forum,66,15940,2425,5422,0.447,277,849,0.326,2148,4573,0.47,1142,1504,0.759,831,1944,2775,1290,631,345,955,1316,6269,2011/2012,70940349,4172961.71,4.18,26.53,,0,0
Boston Celtics,TD Garden,66,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,2011/2012,79820530,5321368.67,7.24,28.24,,0,0
Philadelphia 76ers,Wells Fargo Center,66,15915,2471,5516,0.448,349,963,0.362,2122,4553,0.466,889,1198,0.742,704,2144,2848,1453,526,340,738,1157,6180,2011/2012,66672368,4762312,4.31,26.12,,0,0
Portland Trail Blazers,Rose Garden Arena,66,15965,2402,5417,0.443,478,1382,0.346,1924,4035,0.477,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415,2011/2012,79568536,4973033.5,5.22,26.72,,0,0
Oklahoma City Thunder,Chesapeake Energy Arena,66,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802,2011/2012,59501709,3718856.81,4.62,26.12,,1,0
Toronto Raptors,Air Canada Centre,66,15965,2268,5154,0.44,365,1075,0.34,1903,4079,0.467,1085,1410,0.77,697,2074,2771,1382,429,321,1001,1532,5986,2011/2012,55063049,3670869.93,4.39,26.78,,0,0
Utah Jazz,EnergySolutions Arena,66,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,2011/2012,56948761,4380673.92,4.6,26.13,,0,0
Denver Nuggets,Pepsi Center,66,16040,2572,5404,0.476,435,1311,0.332,2137,4093,0.522,1293,1760,0.735,738,2105,2843,1581,540,330,1015,1297,6872,2011/2012,58553173,3903544.87,4.24,25.76,,0,0
Houston Rockets,Toyota Center,66,16065,2489,5543,0.449,478,1330,0.359,2011,4213,0.477,1018,1301,0.782,769,2014,2783,1404,496,319,955,1347,6474,2011/2012,57021755,3563859.69,3.68,25.79,,0,0
