season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2016/2017,Toronto Raptors," Toronto, Canada",82,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762,108664969,5719208.89,3.82,25.12, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2016/2017,Chicago Bulls," Chicago, Illinois",82,19780,3169,7141,0.444,623,1831,0.34,2546,5310,0.479,1474,1848,0.798,999,2797,3796,1851,643,393,1112,1455,8435,92571387,5445375.71,3.78,25.89, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2016/2017,Boston Celtics," Boston, Massachusetts",82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857,93465328,4673266.4,4.2,25.27, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2016/2017,Utah Jazz," Salt Lake City, Utah",82,19755,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,80598193,4477677.39,4.73,26.2, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2016/2017,Los Angeles Lakers," Los Angeles, California",82,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1243,1698,8575,95226183,5011904.37,4.94,26.72, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2016/2017,Washington Wizards," Washington, District of Columbia",82,19855,3388,7137,0.475,756,2030,0.372,2632,5107,0.515,1421,1812,0.784,843,2671,3514,1956,693,336,1162,1745,8953,102334382,5685243.44,3.78,25.67, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2016/2017,Atlanta Hawks," Atlanta, Georgia",82,19880,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1294,1491,8459,96007250,4800362.5,5.9,28.2, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2016/2017,Detroit Pistons," Detroit, Michigan",82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,108968495,5735183.95,3.67,25.47, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2016/2017,Charlotte Hornets," Charlotte, North Carolina",82,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601,90175926,5009773.67,4.42,25.79, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2016/2017,Golden State Warriors," San Francisco, California",82,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,101725589,4422851.7,6.71,27.88, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2016/2017,Phoenix Suns," Phoenix, Arizona",82,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1265,2030,8831,85115778,4053132.29,4.33,25.67, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2016/2017,Miami Heat," Miami, Florida",82,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1102,1680,8460,101818405,5090920.25,4.53,26.6, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2016/2017,Orlando Magic," Orlando, Florida",82,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,396,1091,1584,8288,104110336,5783907.56,3.63,25.47, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2016/2017,Denver Nuggets," Denver, Colorado",82,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,82573997,3590173.78,4.58,25.47, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 35 (26 NBA & 9 ABA), 0 (0 NBA & 0 ABA)," 2183-2148, .504 W-L% (1770-1817 NBA & 413-331 ABA)"
2016/2017,New York Knicks," New York, New York",82,19855,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1139,1668,8556,103595894,5755327.44,4.12,26.62, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
