season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2010/2011,Golden State Warriors," San Francisco, California",82,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,68415336,4561022.4,3.71,25.82, 75; 1946-47 to 2020-21,35,6," 2806-3016, .482 W-L%"
2010/2011,New Jersey Nets," Brooklyn, New York",82,20005,2918,6638,0.44,459,1337,0.343,2459,5301,0.464,1427,1881,0.759,909,2440,3349,1723,458,384,1152,1807,7722,58495989,3899732.6,4.36,25.82, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2010/2011,Cleveland Cavaliers," Cleveland, Ohio",82,19755,2886,6647,0.434,509,1489,0.342,2377,5158,0.461,1546,2075,0.745,856,2449,3305,1720,544,341,1166,1648,7827,53990021,3175883.59,3.74,26.21, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2010/2011,Indiana Pacers," Indianapolis, Indiana",82,19780,3003,6787,0.442,585,1653,0.354,2418,5134,0.471,1592,2035,0.782,914,2657,3571,1611,584,456,1262,1782,8183,65088630,4068039.38,4.13,26.13, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 36 (27 NBA & 9 ABA), 3 (0 NBA & 3 ABA)," 2232-2097, .516 W-L% (1805-1780 NBA & 427-317 ABA)"
2010/2011,Sacramento Kings," Sacramento, California",82,19855,3134,6979,0.449,428,1277,0.335,2706,5702,0.475,1455,1981,0.734,1071,2526,3597,1675,608,391,1324,1805,8151,45268465,2829279.06,2.62,24.75, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2010/2011,Detroit Pistons," Detroit, Michigan",82,19880,3056,6647,0.46,472,1256,0.376,2584,5391,0.479,1367,1854,0.737,931,2236,3167,1730,595,328,1067,1629,7951,65517821,4367854.73,6,27.23, 73; 1948-49 to 2020-21,42,3," 2763-2953, .483 W-L%"
2010/2011,Utah Jazz," Salt Lake City, Utah",82,19880,3064,6590,0.465,435,1256,0.346,2629,5334,0.493,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,75855296,5418235.43,4.65,26.29, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2010/2011,Houston Rockets," Houston, Texas",82,19880,3170,6975,0.454,677,1843,0.367,2493,5132,0.486,1668,2083,0.801,962,2549,3511,1955,581,371,1110,1641,8685,72315654,4821043.6,3.45,25.85, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2010/2011,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19930,3125,6776,0.461,443,1248,0.355,2682,5528,0.485,1426,1851,0.77,850,2578,3428,1861,621,355,1063,1592,8119,68915246,4922517.57,5.07,26.53, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2010/2011,Milwaukee Bucks," Milwaukee, Wisconsin",82,19830,2814,6544,0.43,483,1414,0.342,2331,5130,0.454,1423,1881,0.757,862,2480,3342,1545,617,399,1103,1682,7534,69076690,4063334.71,5.47,27.29, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2010/2011,Phoenix Suns," Phoenix, Arizona",82,20005,3219,6844,0.47,701,1857,0.377,2518,4987,0.505,1472,1939,0.759,821,2478,3299,1945,545,357,1169,1666,8611,65979054,4123690.88,5.21,27.68, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2010/2011,Los Angeles Lakers," Los Angeles, California",82,19830,3128,6757,0.463,524,1487,0.352,2604,5270,0.494,1541,1979,0.779,989,2616,3605,1801,602,422,1073,1555,8321,91428140,6530581.43,7.88,29.06, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2010/2011,Charlotte Bobcats," Charlotte, North Carolina",82,19805,2873,6365,0.451,393,1203,0.327,2480,5162,0.48,1511,1999,0.756,848,2444,3292,1728,524,433,1192,1637,7650,66542696,3696816.44,5.42,26.84, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2010/2011,Chicago Bulls," Chicago, Illinois",82,19830,3042,6587,0.462,511,1415,0.361,2531,5172,0.489,1492,2008,0.743,967,2654,3621,1827,592,468,1161,1639,8087,54538076,4195236.62,5.07,27.47, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2010/2011,Atlanta Hawks," Atlanta, Georgia",82,19730,2971,6429,0.462,502,1427,0.352,2469,5002,0.494,1346,1728,0.779,762,2460,3222,1802,497,341,1118,1554,7790,71469843,5104988.79,5.82,27.47, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2010/2011,Washington Wizards," Washington, District of Columbia",82,19930,3048,6888,0.443,392,1182,0.332,2656,5706,0.465,1489,1999,0.745,1013,2374,3387,1592,665,502,1258,1850,7977,58324988,3240277.11,3.43,25.91, 60; 1961-62 to 2020-21,29,1," 2167-2636, .451 W-L%"
2010/2011,Miami Heat," Miami, Florida",82,19780,3031,6301,0.481,547,1479,0.37,2484,4822,0.515,1760,2288,0.769,790,2666,3456,1639,544,430,1142,1674,8369,66205855,3678103.06,8.65,30.29, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2010/2011,New York Knicks," New York, New York",82,19780,3140,6867,0.457,765,2081,0.368,2375,4786,0.496,1689,2087,0.809,847,2470,3317,1757,625,475,1123,1743,8734,67016562,4467770.8,4.25,25.95, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2010/2011,San Antonio Spurs," San Antonio, Texas",82,19780,3148,6628,0.475,685,1727,0.397,2463,4901,0.503,1521,1984,0.767,829,2603,3432,1836,602,372,1101,1556,8502,69522311,3659069,4.4,27.45, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
2010/2011,New Orleans Hornets," New Orleans, Louisiana",82,19830,2944,6416,0.459,444,1232,0.36,2500,5184,0.482,1452,1897,0.765,824,2468,3292,1691,624,359,1069,1719,7784,68230729,4013572.29,4.16,26.58, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2010/2011,Los Angeles Clippers," Los Angeles, California",82,19855,3015,6594,0.457,513,1519,0.338,2502,5075,0.493,1546,2187,0.707,955,2501,3456,1813,585,402,1343,1733,8089,53225329,3326583.06,4.29,26.24, 51; 1970-71 to 2020-21,15,0," 1683-2397, .413 W-L%"
2010/2011,Memphis Grizzlies," Memphis, Tennessee",82,19880,3200,6801,0.471,309,926,0.334,2891,5875,0.492,1486,1981,0.75,970,2391,3361,1691,771,441,1145,1705,8195,70241344,4131843.76,3.37,25.47, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2010/2011,Boston Celtics," Boston, Massachusetts",82,19780,3023,6219,0.486,408,1119,0.365,2615,5100,0.513,1459,1895,0.77,639,2542,3181,1921,676,344,1195,1678,7913,82045867,5860419.07,6.76,27.9, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2010/2011,Orlando Magic," Orlando, Florida",82,19830,2956,6411,0.461,770,2103,0.366,2186,4308,0.507,1453,2101,0.692,864,2679,3543,1636,548,384,1224,1640,8135,90770804,6483628.86,7.18,28.41, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2010/2011,Portland Trail Blazers," Portland, Oregon",82,19805,2951,6599,0.447,518,1503,0.345,2433,5096,0.477,1476,1835,0.804,996,2230,3226,1736,660,358,1070,1585,7896,74584058,4972270.53,4.83,27.44, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2010/2011,Oklahoma City Thunder," Oklahoma City, Oklahoma",82,20005,3066,6609,0.464,487,1403,0.347,2579,5206,0.495,1977,2401,0.823,903,2604,3507,1672,654,487,1156,1836,8596,55922488,3994463.43,4.06,25.17, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
2010/2011,Toronto Raptors," Toronto, Canada",82,19780,3144,6755,0.465,345,1091,0.316,2799,5664,0.494,1491,1976,0.755,963,2343,3306,1795,581,350,1206,1807,8124,69992648,3683823.58,3.55,25.68, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
