season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2019/2020,Dallas Mavericks," Dallas, Texas",75,18175,3124,6772,0.461,1136,3095,0.367,1988,3677,0.541,1392,1787,0.779,791,2729,3520,1849,460,363,953,1462,8776,122089876,6104493.8,4.16,26.89, 41; 1980-81 to 2020-21,22,1," 1633-1626, .501 W-L%"
2019/2020,Charlotte Hornets," Charlotte, North Carolina",65,15750,2425,5586,0.434,785,2231,0.352,1640,3355,0.489,1052,1406,0.748,715,2066,2781,1549,428,268,949,1223,6687,122632035,6812890.83,3.75,24.94, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2019/2020,Phoenix Suns," Phoenix, Arizona",73,17595,3006,6429,0.468,831,2320,0.358,2175,4109,0.529,1451,1740,0.834,712,2465,3177,1987,559,290,1077,1609,8294,121137310,6375647.89,2.47,24.16, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2019/2020,Sacramento Kings," Sacramento, California",72,17455,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927,117679921,5116518.3,4.3,26.17, 73; 1948-49 to 2020-21,29,1," 2607-3116, .456 W-L%"
2019/2020,Chicago Bulls," Chicago, Illinois",65,15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945,116208743,6116249.63,2.65,24.18, 55; 1966-67 to 2020-21,35,6," 2243-2153, .510 W-L%"
2019/2020,Toronto Raptors," Toronto, Canada",72,17380,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,1329,1670,0.796,685,2583,3268,1816,636,358,1067,1559,8118,123454360,6172718,3.39,25.44, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2019/2020,Portland Trail Blazers," Portland, Oregon",74,17835,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,1312,1632,0.804,754,2599,3353,1525,465,451,946,1606,8508,137375608,6541695.62,4.65,25.53, 51; 1970-71 to 2020-21,36,1," 2190-1889, .537 W-L%"
2019/2020,Los Angeles Lakers," Los Angeles, California",71,17090,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,1260,1728,0.729,757,2490,3247,1803,612,468,1077,1471,8054,125433839,5453645.17,7.15,28.1, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
2019/2020,Milwaukee Bucks," Milwaukee, Wisconsin",73,17595,3160,6638,0.476,1007,2840,0.355,2153,3798,0.567,1336,1800,0.742,691,3083,3774,1889,526,429,1102,1431,8663,135025925,6137542.05,7.12,28.53, 53; 1968-69 to 2020-21,32,1," 2207-2036, .520 W-L%"
2019/2020,Houston Rockets," Houston, Texas",72,17380,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,1484,1876,0.791,704,2484,3188,1557,627,371,1057,1566,8482,131293343,5708406.22,7.05,28.76, 54; 1967-68 to 2020-21,34,2," 2280-2042, .528 W-L%"
2019/2020,Orlando Magic," Orlando, Florida",73,17570,2871,6468,0.444,807,2354,0.343,2064,4114,0.502,1282,1656,0.774,751,2498,3249,1747,599,396,937,1336,7831,133294669,6347365.19,3.79,26, 32; 1989-90 to 2020-21,16,0," 1204-1317, .478 W-L%"
2019/2020,New York Knicks," New York, New York",66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.694,795,2274,3069,1456,504,313,946,1464,6983,111355759,5860829.42,3.88,24.94, 75; 1946-47 to 2020-21,42,2," 2818-3006, .484 W-L%"
2019/2020,Brooklyn Nets," Brooklyn, New York",72,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,126998206,5291591.92,4.75,26.17, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 28 (21 NBA & 7 ABA), 2 (0 NBA & 2 ABA)," 1883-2448, .435 W-L% (1509-2078 NBA & 374-370 ABA)"
2019/2020,Memphis Grizzlies," Memphis, Tennessee",73,17570,3106,6634,0.468,798,2297,0.347,2308,4337,0.532,1212,1589,0.763,754,2643,3397,1965,576,398,1113,1546,8222,128882901,4957034.65,3,24.95, 26; 1995-96 to 2020-21,10,0," 842-1183, .416 W-L%"
2019/2020,New Orleans Pelicans," New Orleans, Louisiana",72,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.729,797,2551,3348,1932,539,358,1181,1524,8341,117709161,6539397.83,3.29,24.88, 19; 2002-03 to 2020-21,7,0," 688-798, .463 W-L%"
2019/2020,San Antonio Spurs," San Antonio, Texas",71,17215,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,1348,1664,0.81,640,2530,3170,1751,518,390,895,1377,8098,123395102,6494479.05,5.11,26.33, 54 (45 NBA & 9 ABA); 1967-68 to 2020-21, 47 (39 NBA & 8 ABA), 5 (5 NBA & 0 ABA)," 2590-1735, .599 W-L% (2212-1369 NBA & 378-366 ABA)"
2019/2020,Miami Heat," Miami, Florida",73,17745,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,1440,1840,0.783,620,2619,3239,1892,547,332,1088,1501,8179,133841791,6692089.55,4.95,26.62, 33; 1988-89 to 2020-21,21,3," 1356-1247, .521 W-L%"
2019/2020,Oklahoma City Thunder," Oklahoma City, Oklahoma",72,17430,2879,6156,0.468,770,2171,0.355,2109,3985,0.529,1422,1787,0.796,593,2495,3088,1562,550,353,986,1390,7950,133820365,7043177.11,3.39,24.56, 54; 1967-68 to 2020-21,32,1," 2342-1982, .542 W-L%"
