name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Toronto Raptors,Air Canada Centre,82,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762,2016/2017,108664969,5719208.89,3.82,25.12,,0,0
Chicago Bulls,United Center,82,19780,3169,7141,0.444,623,1831,0.34,2546,5310,0.479,1474,1848,0.798,999,2797,3796,1851,643,393,1112,1455,8435,2016/2017,92571387,5445375.71,3.78,25.89,,0,0
Boston Celtics,TD Garden,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857,2016/2017,93465328,4673266.4,4.2,25.27,,0,0
Utah Jazz,Vivint Smart Home Arena,82,19755,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,2016/2017,80598193,4477677.39,4.73,26.2,,0,0
Los Angeles Lakers,STAPLES Center,82,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1243,1698,8575,2016/2017,95226183,5011904.37,4.94,26.72,,0,0
Washington Wizards,Verizon Center,82,19855,3388,7137,0.475,756,2030,0.372,2632,5107,0.515,1421,1812,0.784,843,2671,3514,1956,693,336,1162,1745,8953,2016/2017,102334382,5685243.44,3.78,25.67,,0,0
Atlanta Hawks,Philips Arena,82,19880,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1294,1491,8459,2016/2017,96007250,4800362.5,5.9,28.2,,0,0
Detroit Pistons,The Palace of Auburn Hills,82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,2016/2017,108968495,5735183.95,3.67,25.47,,0,0
Charlotte Hornets,Spectrum Center,82,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601,2016/2017,90175926,5009773.67,4.42,25.79,,0,0
Golden State Warriors,Oracle Arena,82,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,2016/2017,101725589,4422851.7,6.71,27.88,,1,1
