name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Phoenix Suns,Talking Stick Resort Arena,82,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1265,2030,8831,2016/2017,85115778,4053132.29,4.33,25.67,,0,0
Miami Heat,AmericanAirlines Arena,82,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1102,1680,8460,2016/2017,101818405,5090920.25,4.53,26.6,,0,0
Orlando Magic,Amway Center,82,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,396,1091,1584,8288,2016/2017,104110336,5783907.56,3.63,25.47,,0,0
Denver Nuggets,Pepsi Center,82,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,2016/2017,82573997,3590173.78,4.58,25.47,,0,0
New York Knicks,Madison Square Garden (IV),82,19855,3244,7256,0.447,704,2022,0.348,2540,5234,0.485,1364,1731,0.788,983,2723,3706,1786,581,455,1139,1668,8556,2016/2017,103595894,5755327.44,4.12,26.62,,0,0
Milwaukee Bucks,BMO Harris Bradley Center,82,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497,2016/2017,106512121,5325606.05,4.37,26,,0,0
Houston Rockets,Toyota Center,82,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2746,3638,2070,670,352,1240,1634,9458,2016/2017,90498298,5027683.22,4.61,26,,0,0
Philadelphia 76ers,Wells Fargo Center,82,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400,2016/2017,85674275,3059795.54,2.43,24.71,,0,0
Los Angeles Clippers,STAPLES Center,82,19755,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1062,1626,8911,2016/2017,116237541,6457641.17,8.27,29.53,,0,0
Cleveland Cavaliers,Quicken Loans Arena,82,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,2016/2017,127254579,7069698.83,8.38,30.05,,1,0
Portland Trail Blazers,Moda Center,82,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851,2016/2017,111872768,7458184.53,3.07,24.33,,0,0
Memphis Grizzlies,FedEx Forum,82,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,886,2621,3507,1744,653,344,1059,1840,8239,2016/2017,111209189,5054963.14,5.29,27.24,,0,0
Indiana Pacers,Bankers Life Fieldhouse,82,19855,3221,6931,0.465,709,1885,0.376,2512,5046,0.498,1467,1811,0.81,742,2702,3444,1844,669,409,1130,1597,8618,2016/2017,94008504,4476595.43,5.94,26.94,,0,0
San Antonio Spurs,AT&T Center,82,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,821,2777,3598,1954,655,484,1101,1498,8637,2016/2017,108640621,5432031.05,6.19,28.75,,0,0
Minnesota Timberwolves,Target Center,82,19805,3235,6922,0.467,601,1723,0.349,2634,5199,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657,2016/2017,81621379,4295862.05,3.81,25.69,,0,0
New Orleans Pelicans,Smoothie King Center,82,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1054,1490,8556,2016/2017,101707386,4068295.44,4.04,25.85,,0,0
Sacramento Kings,Golden 1 Center,82,19880,3105,6734,0.461,737,1960,0.376,2368,4774,0.496,1483,1913,0.775,715,2652,3367,1844,627,324,1201,1667,8430,2016/2017,96043092,4573480.57,5.42,26.79,,0,0
Brooklyn Nets,Barclays Center,82,19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673,2016/2017,84083139,3114190.33,3.48,25.81,,0,0
Dallas Mavericks,American Airlines Center,82,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,2016/2017,103994075,3999772.12,3.83,26.75,,0,0
Oklahoma City Thunder,Chesapeake Energy Arena,82,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741,2016/2017,91339949,4349521.38,3.89,25.95,,0,0
